# key	english	bulgarian	french	russian
Journal/herbq3::1	Repair the ropeway in the forest level 2.	Поправи въжената линия в гората на ниво 2.	Réparez le téléphérique au niveau 2 de la forêt.	Починить канатную дорогу на втором лесном уровне.
Journal/herbq3::2	Bring Jenny <color=yellow>8 guarana</color> from forest level 3.	Донеси на Jenny <color=yellow>8 гуарана</color> от ниво 3 на гората.	Apportez à Jenny <color=yellow>8 guarana</color> du niveau 3 de la forêt.	Принести Дженни с третьего лесного уровня <color=yellow>8 плодов гуараны</color>.
Journal/herbq3::2bck	Bring Jenny $item$ from forest level 3.	Донеси на Джени $item$ от ниво 3 на гората.	Apportez à Jenny $item$ du niveau 3 de la forêt.	Принести Дженни с третьего лесного уровня:  $item$.
Journal/herbq4Title	Underground Plantation	Подземен разсадник	Plantation souterraine	Подземная плантация
Journal/herbq4	Jenny has asked me to grow guarana plants seeds and bring her my harvest. <color=yellow>20 guarana</color> should be enough.	Джени ме е помолила да отглеждам семена на гуарана и да ѝ донеса реколтата си. <color=yellow>20 гуарана</color> трябва да е достатъчно.	Jenny m'a demandé de faire pousser des graines de guarana et de lui apporter ma récolte. <color=yellow>20 guarana</color> devraient suffire.	Дженни попросила меня посадить семена гуараны, а затем принести ей урожай. Нужно <color=yellow>20 плодов гуараны</color>.
Journal/herbq4bck	Jenny has asked me to grow guarana plants seeds and bring her my harvest. $item$ should be enough.	Джени ме помоли да отгледам семена от гуарана и да й донеса реколтата. $item$ трябва да е достатъчно.	Jenny m'a demandé de faire pousser des graines de guarana et de lui apporter ma récolte. $item$ devraient suffire.	Дженни попросила меня посадить семена гуараны, а затем собрать и принести урожай. Нужно: $item$.
Journal/herbq4::1	Plant 4 guarana seeds.	Засади 4 семена от гуарана.	Plantez 4 graines de guarana.	Посадить 4 семени гуараны.
Journal/herbq4::2	Bring Jenny <color=yellow>20 guarana</color>.	Принесени на Jenny <color=yellow>20 гуарана</color>	Apportez <color=yellow>20 guarana</color> à Jenny.	Принести Дженни: <color=yellow>20 плодов гуараны</color>.
Journal/herbq4::2bck	Bring Jenny $item$.	Донеси на Джени $item$.	Apportez $item$ à Jenny.	Принести Дженни: $item$.
Journal/herbq5Title	Air Crash Investigation	Разследване на самолетни катастрофи	Enquête sur le crash aérien	Авиакатастрофа
Journal/herbq5	Jenny has asked me to clear the way to the crashed plane in the forest. I will need to repair the ropeway on forest level 4 to get there.	Джени ме помоли да разчистя пътя до катастрофиралия самолет в гората. Ще трябва да поправя въжената линия на ниво 4 в гората, за да стигна дотам.	Jenny m'a demandé de dégager le chemin jusqu'à l'avion qui s'est écrasé dans la forêt. Je devrai réparer le téléphérique au niveau 4 de la forêt pour y arriver.	Дженни попросила меня расчистить путь к самолету, который разбился в лесу. Чтобы попасть туда, нужно починить канатную дорогу на четвертом лесном уровне.
Journal/herbq5::1	Repair the ropeway on forest level 4.	Поправи въжената линия на горско ниво 4.	Réparez le téléphérique au niveau 4 de la forêt.	Починить канатную дорогу на четвертом лесном уровне.
Journal/herbq5::2	Find the plane wreckage on forest level 5.	Намери останките от самолета на горски ниво 5.	Trouvez l'épave de l'avion au niveau 5 de la forêt.	Найти останки крушения самолета на пятом лесном уровне.
Journal/herbq6Title	Be More Exotic	Бъди по-екзотичен	Soyez plus exotique	Больше экзотики
Journal/herbWaitTitle	Jenny	Дневник/чакане за билки	Jenny	Дженни
Journal/herbWait::1	Visit Jenny at her cabin.	Посети Джени в нейната колиба.	Rendez visite à Jenny dans sa cabane.	Навестите Дженни в ее хижине.
Journal/herbq6	Jenny needs even more guarana. She has asked me to bring her <color=yellow>99 guarana</color>.	Джени се нуждае още от гуарана. Помоли ме да ѝ донеса <color=yellow>99 гуарана</color>.	Jenny a besoin d'encore plus de guarana. Elle m'a demandé de lui apporter <color=yellow>99 guarana</color>.	Дженни нужно больше гуараны. Она попросила принести <color=yellow>99 плодов</color>.
Journal/herbq6bck	Jenny needs even more guarana. She has asked me to bring her $item$.	Джени има нужда от още гуарана. Поискала е да ѝ донеса $item$.	Jenny a besoin d'encore plus de guarana. Elle m'a demandé de lui apporter $item$.	Дженни нужно больше гуараны. Она попросила принести: $item$.
Journal/herbq6::1	Bring Jenny <color=yellow>99 guarana</color>.	Принесени на Jenny <color=yellow>99 гуарана</color>	Apportez <color=yellow>99 guarana</color> à Jenny.	Принести Дженни <color=yellow>99 плодов гуараны</color>.
Journal/herbq6::1bck	Bring Jenny $item$.	Дай на Джени $item$.	Apportez $item$ à Jenny.	Принести Дженни: $item$.
Journal/herbq7Title	The Pill	Хапчето	La Pilule	Таблетка
Journal/herbq7	Jenny can't give me the pill yet. She said something about gaining trust of the Sleepless first. Wonder how can I do it?	Джени все още не може да ми даде хапчето. Каза нещо за това, че трябва първо да спечеля доверието на Безсънните. Чудя се как мога да го направя?	Jenny ne peut pas encore me donner la pilule. Elle a dit quelque chose à propos de gagner la confiance des Éveillés, en premier. Je me demande comment je peux y arriver? 	Дженни пока не может отдать мне таблетку. Она сказала, что нужно добиться доверия Неспящих. Но как?
Journal/herbq7::1	Find a way to get the pill from Jenny.	Намери начин да вземеш хапчето от Джени.	Trouvez un moyen d'obtenir la pilule de Jenny.	Найти способ получить у Дженни таблетку.
Journal/herbq8	quest 8	задача 8		
Journal/herbq9	quest 9	задача 9		
Journal/herbq10	quest 10	задача 10		
Journal/				
Journal/rocketInspirationTitle	New Escape Plan	Нов план за бягство	Nouveau Plan d'Évasion	Новый план побега
Journal/rocketInspiration	I haven't come up with a good escape plan yet. I need to find some inspiration and make some more planning.	Все още не съм измислил добър план за бягство. Трябва да намеря малко вдъхновение и да направя още малко планиране.	Je n'ai pas encore trouvé un bon plan d'évasion. J'ai besoin de trouver de l'inspiration et de planifier davantage.	У меня все еще нет хорошего плана побега. Нужно где-то найти вдохновение и заняться планированием.
Journal/rocketInspiration::1	Find inspiration for your ultimate escape plan.	Намери вдъхновение за твоя краен план за бягство.	Trouvez l'inspiration pour votre plan d'évasion ultime.	Найдите вдохновение, чтобы придумать грандиозный план побега.
Journal/rocketPlan1	This rocket schematic is actually very inspiring…	Тази ракета е много вдъхновяваща…	Ce schéma de fusée est vraiment très inspirant...	Изображение этой ракеты действительно очень вдохновляет...
Journal/rocketInspiration::2	Use the rocket image for inspiration for your ultimate escape plan.	Използвай изображението на ракетата за вдъхновение за твоя краен план за бягство.	Utilisez l'image de la fusée pour trouver l'inspiration pour votre plan d'évasion ultime.	Используйте изображение ракеты для вдохновения, чтобы придумать грандиозный план побега.
Journal/herbFirstLetterTitle	The Herbalist	Билкарят	L'Herboriste	Травница
Journal/herbFirstLetter	A local herbalist can be met in the forest during the daytime.	Местен билкар може да се срещне в гората през деня.	Une herboriste local peut être rencontré dans la forêt pendant la journée.	Днем в лесу можно встретить местную травницу.
Journal/herbFirstLetter::1	Go to the forest in the daytime and meet the herbalist.	Отиди в гората през деня и срещни билкаря.	Allez dans la forêt pendant la journée et rencontrez l'herboriste.	Отправьтесь днем в лес и встретьтесь с травницей.
Journal/minutMan1Title	Minuteman	Чистач	Minuteman	Минитмен
Journal/minutMan1	A strange person calling himself 'Minuteman' sends letters to me. He had previously sent me a detailed rocket image, and now he wants a blueberry jam. I think I will make it for him as a token of goodwill.	Един странен човек, който се нарича "Минуteman", ми изпраща писма. Преди това ми изпрати подробна снимка на ракета, а сега иска конфитюр от боровинки. Мисля, че ще му го направя като жест на добра воля.	Une personne étrange qui s'appelle lui-même "Minuteman" m'envoie des lettres. Il m'avait auparavant envoyé une image détaillée de la fusée, et maintenant il veut de la confiture de myrtilles. Je pense que j'en ferai pour lui en signe de bonne volonté.	Мне пишет письма странный человек. Он называет себя «Минитменом». Сначала прислал детальную схему ракеты, а теперь ему понадобилась банка черничного варенья. Думаю, отправлю ее в знак доброй воли.
Journal/minutMan1::1	Send Minuteman a jar of blueberry jam	Изпрати на Минуteman буркан с боровинково сладко	Envoyez un pot de confiture à la myrtille pour Minuteman	Отправить Минитмену банку черничного варенья
Journal/minutMan2Title	Nuclear Warfare	Ядрена война	Guerre Nucléaire	Ядерная война
Journal/minutMan2	Minuteman is looking for a good book about nuclear warfare. I need to find one.	Минуteman търси добра книга за ядрена война. Трябва да намеря такава.	Minuteman est à la recherche d'un bon livre sur la guerre nucléaire. Je dois en trouver un.	Минитмен попросил хорошую книгу о ядерной войне. Мне нужно ее найти.
Journal/minutMan2::1	Find a book about nuclear warfare.	Намери книга за ядрена война.	Trouvez un livre sur la guerre nucléaire et donnez-le au Minuteman.	Найдите книгу о ядерной войне
Journal/minutMan2::2	Deliver the book about nuclear warfare to Minuteman.	Достави книгата за ядрена война на Минуteman.	Donnez le livre sur la guerre nucléaire à Minuteman.	Отправьте книгу о ядерной войне Минитмену.
Journal/minutMan3Title	Not Great, Not Terrible	Не е лошо, не е и зле	Pas Génial, Pas Terrible	Серединка на половинку
Journal/minutMan3	Minuteman is getting more and more into the topic of atomic bombs and radioactivity. He appears to know something... Anyway, he wants a Geiger counter. I need to find one and deliver it to him.	Минуteman все повече се интересува от атомни бомби и радиация. Изглежда, че знае нещо... Както и да е, иска Гайгер брояч. Трябва да намеря един и да му го доставя.	Minuteman s'intéresse de plus en plus aux bombes atomiques et à la radioactivité. Il semble savoir quelque chose ... Dans tous les cas, il veut un compteur Geiger. Je dois en trouver un et lui donner.	Минитмен все больше говорит об атомных бомбах и радиоактивности. Он явно что-то знает... Но к делу, сейчас ему нужен счетчик Гейгера. Нужно найти его и доставить.
Journal/minutMan3::1	Find a Geiger counter.	Намери гейгер брояч.	Trouvez un compteur Geiger.	Найти счетчик Гейгера.
Journal/minutMan3::2	Deliver the Geiger counter to Minuteman.	Достави гайгеровия брояч на Минуteman.	Donnez le compteur Geiger à Minuteman.	Доставить счетчик Гейгера Минитмену.
Journal/minutMan4Title	Bless the President	Боже, пази президента	Gloire au Président	Боже, храни Президента
Journal/minutMan4	Minuteman says there is an Agent who is dangerous to him, and by extension - to me. But he has a plan: he wants to discredit him in the Agency. I need to find an offensive and illegal object and find a way to plant it in the Agent's home.	Минуteman казва, че има агент, който е опасен за него, а оттам и за мен. Но той има план: иска да го дискредитира в Агенцията. Трябва да намеря нещо офанзивно и незаконно и да намеря начин да го сложа в дома на агента.	Minuteman dit qu'il y a un agent qui est dangereux pour lui, et par extension - pour moi. Mais il a un plan: il veut le discréditer de l'Agence. Je dois trouver un objet offenssant et illégal et trouver un moyen de le cacher chez l'agent.	Один Агент представляет серьезную угрозу Минитмену, а значит, и мне. По крайней мере, так говорит Минитмен. Но у него есть план: он хочет скомпрометировать этого человека в глазах Агентства. Мне нужно найти что-нибудь оскорбительное и незаконное и подложить Агенту домой.
Journal/minutMan4::1	Find an offensive and illegal item.	Намери незаконен и обиден предмет.	Trouvez un objet choquant et illégal.	Найти что-нибудь оскорбительное и незаконное.
Journal/minutMan4::2	Convince the Postman to plant the offensive figurine.	Убеди Пощальона да засади нападателната фигурка.	Convaincre le facteur de livrer la figurine choquante.	Убедить Почтальона подложить оскорбительную фигурку.
Journal/minutMan5Title	Care Package 	Пакет за грижа	Colis de Première Nécessité	Посылка с припасами
Journal/minutMan5	Minuteman goes into hiding and needs some long lasting food. I will send him some.	Минуteman се крие и има нужда от дълготрайна храна. Ще му изпратя малко.	Minuteman se cache et a besoin de nourriture durable. Je vais lui en envoyer.	Минитмен ушел в подполье, и теперь ему нужна еда с большим сроком годности. Я отправлю ему немного таких припасов.
Journal/minutMan5::1	Deliver long-lasting food to Minuteman.	Достави дълготрайна храна на Минуteman.	Envoyez des aliments durables à Minuteman.	Отправить Минитмену еду с большим сроком годности.
Journal/minutMan6Title	Locked & Loaded	Заключено и заредено	Verrouillé et chargé	Заряжен и готов
Journal/minutMan6	Minuteman feels in danger and needs some firepower to defend himself with. 	Минуteman се чувства в опасност и има нужда от малко огнева мощ, за да се защити.	Minuteman se sent en danger et a besoin d'une puissance de feu pour se défendre.	Минитмен считает, что он в опасности, и ему нужно оружие, чтобы себя защитить.
Journal/minutMan6::1	Deliver a rifle and some ammunition to Minuteman.	Достави пушка и малко муниции на Минуteman.	Envoyez un fusil et des munitions à Minuteman.	Отправить Минитмену винтовку и немного патронов.
Journal/minutMan7	m7	minutMan7		
Journal/minutMan8	m8	minutMan8		
Journal/minutMan4::3	Ask the Postman about the illegal delivery.	Попитай пощальона за незаконната доставка.	Interrogez le Facteur sur la livraison illégale.	Спросить Почтальона о нелегальной посылке.
Journal/ForestPillarTitle	Into the Woods	В гората	Dans les Bois	Чем дальше в лес
Journal/ForestPillar	The ropeway in the forest would be a great way to move around, but it's long broken. I should fix it.	Въжената линия в гората би била страхотен начин да се придвижваш, но е дълго счупена. Трябва да я поправя.	Le téléphérique dans la forêt serait d'une bonne aide pour me déplacer, mais ça fait des années qu'il n'est plus en état de marche. Je devrais le réparer.	Канатная дорога – отличный способ перемещаться по лесу. Но сначала нужно ее починить.
Journal/ForestPillar::1	Repair the forest ropeway on level 1 (<color=yellow>lever</color>).	Поправи дървената кабина на ниво 1 (<color=yellow>ръчка</color>)	Réparez le téléphérique au niveau 1 de la forêt (<color=yellow>levier</color>)	Отремонтируйте лесную канатную дорогу на 1 уровне (<color=yellow>рычаг</color>).
Journal/ForestPillar::1bck	Repair the forest ropeway on level 1 ($items$).	Поправи въжената линия в гората на ниво 1 ($items$).	Réparez le téléphérique au niveau 1 de la forêt ($items$)	Отремонтируйте лесную канатную дорогу на 1 уровне ($items$).
Journal/ForestPillar::2	Repair the forest ropeway on level 2 (<color=yellow>lever</color>, <color=yellow>15 metal</color>).	Поправи лесната кабина на ниво 2 (<color=yellow>ръчка</color>, <color=yellow>15 метал</color>).	Réparez le téléphérique au niveau 2 de la forêt (<color=yellow>levier</color>, <color=yellow>15 métal</color>)	Отремонтируйте лесную канатную дорогу на 2 уровне (<color=yellow>рычаг</color>, <color=yellow>15 металла</color>).
Journal/ForestPillar::2bck	Repair the forest ropeway on level 2 ($items$).	Поправи въжената линия в гората на ниво 2 ($items$).	Réparez le téléphérique au niveau 2 de la forêt ($items$)	Отремонтируйте лесную канатную дорогу на втором уровне ($items$).
Journal/ForestPillar::3	Repair the forest ropeway on level 3 (<color=yellow>lever</color>, <color=yellow>20 metal</color>, <color=yellow>10 plastic</color>).	Поправи го лесово каблирано пътеводие на ниво 3 (<color=yellow>ръчка</color>, <color=yellow>20 метал</color>, <color=yellow>10 пластмаса</color>).	Réparez le téléphérique au niveau 3 de la forêt (<color=yellow>levier</color>, <color=yellow>20 métal</color>, <color=yellow>10 plastique</color>)	Отремонтируйте лесную канатную дорогу на 3 уровне (<color=yellow>рычаг</color>, <color=yellow>20 металла</color>, <color=yellow>10 пластика</color>).
Journal/ForestPillar::3bck	Repair the forest ropeway on level 3 ($items$).	Поправи въжената линия в гората на ниво 3 ($items$).	Réparez le téléphérique au niveau 3 de la forêt ($items$)	Отремонтируйте лесную канатную дорогу на третьем уровне ($items$).
Journal/ForestPillar::4	Repair the forest ropeway on level 4 (<color=yellow>lever</color>, <color=yellow>20 plastic</color>, <color=yellow>10 electronics</color>).	Поправи лесната кабина на ниво 4 (<color=yellow>ръчка</color>, <color=yellow>20 пластмаса</color>, <color=yellow>10 електроника</color>).	Réparez le téléphérique au niveau 4 de la forêt (<color=yellow>levier</color>, <color=yellow>20 plastique</color>, <color=yellow>10 composants électroniques</color>)	Отремонтируйте лесную канатную дорогу на 4 уровне (<color=yellow>рычаг</color>, <color=yellow>20 пластика</color>, <color=yellow>10 электроники</color>).
Journal/ForestPillar::4bck	Repair the forest ropeway on level 4 ($items$).	Поправи въжената линия в гората на ниво 4 ($items$).	Réparez le téléphérique au niveau 4 de la forêt ($items$)	Отремонтируйте лесную канатную дорогу на четвертом уровне ($items$).
Journal/ForestPillar::5	Repair the forest ropeway on level 5 (<color=yellow>lever</color>, <color=yellow>30 electronics</color>, <color=yellow>30 metal</color>).	Поправи лесната кабина на ниво 5 (<color=yellow>ръчка</color>, <color=yellow>30 електроника</color>, <color=yellow>30 метал</color>).	Réparez le téléphérique au niveau 5 de la forêt (<color=yellow>levier</color>, <color=yellow>30 composants électroniques</color>, <color=yellow>30 métal</color>)	Отремонтируйте лесную канатную дорогу на 5 уровне (<color=yellow>рычаг</color>, <color=yellow>30 электроники</color>, <color=yellow>30 металла</color>).
Journal/ForestPillar::5bck	Repair the forest ropeway on level 5 ($items$).	Поправи въжената линия в гората на ниво 5 ($items$).	Réparez le téléphérique au niveau 5 de la forêt ($items$)	Отремонтируйте лесную канатную дорогу на пятом уровне ($items$).
Journal/RocketTitle	The Countdown	Обратното броене	Le Compte à Rebours	Обратный отсчет
Journal/Rocket	I need to escape from here. I have decided to build a functional rocket. 	Трябва да избягам оттук. Реших да построя функционална ракета.	Je dois m'échapper d'ici. J'ai décidé de construire une fusée.	Мне нужно выбраться отсюда. Я решил построить рабочую ракету.
Journal/Rocket::1	Build a rocket silo (<color=yellow>50 stone</color>, <color=yellow>20 metal</color>, <color=yellow>10 glass</color>).	Изгради ракетен сил (<color=yellow>50 камък</color>, <color=yellow>20 метал</color>, <color=yellow>10 стъкло</color>).	Construisez un silo à fusée (<color=yellow>50 pierre</color>, <color=yellow>20 métal</color>, <color=yellow>10 verre</color>).	Постройте ракетную шахту (<color=yellow>50 камня</color>, <color=yellow>20 металла</color>, <color=yellow>10 стекла</color>).
Journal/Rocket::1bck	Build a rocket silo ($items$).	Построй ракета ($items$).	Construisez un silo à fusée ($items$).	Постройте ракетную шахту ($items$).
Journal/Rocket::2	Finish phase 2 of building a rocket. Item needed: <color=yellow>60 metal</color>, <color=yellow>20 plastic</color>, <color=yellow>Artificial Horizon</color>.	Завърши фаза 2 от изграждането на ракета. Нужни предмети: <color=yellow>60 метал</color>, <color=yellow>20 пластмаса</color>, <color=yellow>Изкуствен Хоризонт</color>.	Finir la phase 2 de la construction de la fusée. Objets nécessaires: <color=yellow>60 métal</color>, <color=yellow>20 plastique</color>, <color=yellow>Horizon Artificiel </color>.	Завершите 2 фазу строительства ракеты. Требуется: <color=yellow>60 металла</color>, <color=yellow>20 пластика</color>, <color=yellow>авиагоризонт</color>.
Journal/Rocket::2bck	Finish phase 2 of building a rocket. Item needed: $items$.	Завърши фаза 2 от изработката на ракета. Необходим предмет: $items$.	Finir la phase 2 de la construction de la fusée. Objets nécessaires: $items$.	Завершите 2-ю фазу строительства ракеты. Требуется: $items$.
Journal/Rocket::3	Finish phase 3 of building a rocket. Item needed: <color=yellow>20 electronics</color>, <color=yellow>40 metal</color>, <color=yellow>Hydrogen</color>.	Завърши фаза 3 от изграждането на ракета. Нужни са: <color=yellow>20 електроника</color>, <color=yellow>40 метал</color>, <color=yellow>Водород</color>.	Finir la phase 3 de la construction de la fusée. Objets nécessaires: <color=yellow>20 composants électroniques</color>, <color=yellow>40 métal</color>, <color=yellow>Hydrogène</color>.	Завершите 3 фазу строительства ракеты. Требуется: <color=yellow>20 электроники</color>, <color=yellow>40 металла</color>, <color=yellow>водород</color>.
Journal/Rocket::3bck	Finish phase 3 of building a rocket. Item needed: $items$.	Завърши фаза 3 от изработката на ракета. Необходим предмет: $items$.	Finir la phase 3 de la construction de la fusée. Objets nécessaires: $items$.	Завершите 3-ю фазу строительства ракеты. Требуется: $items$.
Journal/Rocket::4	Finish phase 4 of building a rocket. Item needed: <color=yellow>50 plastic</color>, <color=yellow>20 electronics</color>, <color=yellow>10 textile</color>, <color=yellow>Rocket control module</color>.	Завърши фаза 4 от изграждането на ракета. Нужни предмети: <color=yellow>50 пластмаса</color>, <color=yellow>20 електроника</color>, <color=yellow>10 текстил</color>, <color=yellow>Модул за управление на ракетата</color>.	Finir la phase 4 de la construction de la fusée. Objets nécessaires: <color=yellow>50 plastique</color>, <color=yellow>20 composants électroniques</color>, <color=yellow>10 tissu</color>, <color=yellow>Module de contrôle de fusée</color>.	Завершите 4 фазу строительства ракеты. Требуется: <color=yellow>50 пластика</color>, <color=yellow>20 электроники</color>, <color=yellow>10 ткани</color>, <color=yellow>модуль управления ракетой</color>.
Journal/Rocket::4bck	Finish phase 4 of building a rocket. Item needed: $items$.	Завърши фаза 4 от изграждането на ракета. Необходим предмет: $items$.	Finir la phase 4 de la construction de la fusée. Objets nécessaires: $items$.	Завершите 4-ю фазу строительства ракеты. Требуется: $items$.
Journal/FoodSource1Title	Ultimate Plan	Крайна цел	Plan Ultime	Грандиозный план
Journal/FoodSource1	I should start with checking my ultimate plan.	Трябва да започна с проверка на крайния си план.	Je devrais commencer par examiner mon plan ultime.	Надо бы проверить свой грандиозный план.
Journal/FoodSource1::1	Check your ultimate escape plan.	Провери своя краен план за бягство.	Examinez votre plan d'evasion ultime.	Проверьте свой грандиозный план побега.
Journal/FoodSource2Title	Self-Reliant	Самостоятелен	Autosuffisant	Самодостаточность
Journal/FoodSource2	I need to establish a food source for myself.	Трябва да си създам източник на храна.	J'ai besoin de me constituer une source de nourriture.	Мне нужно создать собственный источник питания.
Journal/FoodSource2::1	Place 5 patches of soil in your bunker.	Постави 5 парчета почва в бункера си.	Placez 5 parcelles de terre dans votre bunker.	Положите 5 участков почвы в свой бункер.
Journal/FoodSource2::2	Collect 5 bags of seeds.	Събери 5 торби със семена.	Récuperez 5 sacs de graines.	Соберите 5 мешков семян.
Journal/FoodSource2::3	Plant the seeds.	Засади семената.	Plantez les graines.	Нужно посадить семена.
Journal/FoodSource2::4	Provide plants with water and light.	Поливай растенията и им осигурявай светлина.	Fournissez à vos plantes de l'eau et de la lumière.	Обеспечьте растения водой и светом.
Journal/FoodSource4	Provide plants with water and light	Поливай растенията и им осигурявай светлина	Fournissez à vos plantes de l'eau et de la lumière.	Обеспечьте растения водой и светом
Journal/AfterFoodSource	Food source ready. I should go back to my ultimate escape plan.	Храна готова. Трябва да се върна към крайния си план за бягство.	Source de nourriture prête. Je devrais retourner voir mon plan d'évasion ultime.	Источник питания готов. Мне нужно вернуться к своему грандиозному плану побега.
Journal/UltimatePlanTitle	Ultimate Plan	Крайна цел	Plan Ultime	Грандиозный план
Journal/UltimatePlan::AfterFoodSource	Check your ultimate escape plan.	Провери своя краен план за бягство.	Examinez votre plan d'évasion ultime.	Проверьте свой грандиозный план побега.
Journal/joeq1Title	Mind Control Protection	Защита от контрол на ума	Protection de contrôle mental	Свобода сознания
Journal/joeq0	Broken revolver	Счупен револвер	Revolver cassé	Сломанный револьвер
Journal/joeq0::1	Bring the broken revolver to Joe.	Донеси счупения револвер на Джо.	Apportez le revolver cassé à Joe.	Принести Джо сломанный револьвер.
Journal/joeq1	Joe seeks to protect himself from the mind-controlling waves he believes are around. He wants tinfoil for this, of course.	Джо иска да се защити от мисловните вълни, които смята, че са наоколо. За това му трябва фолио.	Joe cherche à se protéger des ondes de contrôle mental qui, selon lui, existent. Bien sûr, il veut du papier aluminium pour ça.	Джо пытается защитить себя от контролирующих сознание волн, которые якобы окружают его. Ему, конечно же, нужна фольга.
Journal/joeq1::1	Bring Joe <color=yellow>1 foil</color>.	Принесе му на Джо <color=yellow>1 фойл</color>	Apportez <color=yellow>1 papier aluminium</color> à Joe.	Принести Джо <color=yellow>1 фольгу</color>.
Journal/joeqWaitTitle	Joe	Дневник/Заглавие на чакане на Джоуи	Joe	Джо
Journal/joeqWait::1	Come another day.	Ела пак утре.	Revenez un autre jour.	Прийти в другой день.
Journal/joeq2Title	The Missing Cryptid	Липсващото криптид	Le Cryptide Disparu	Пропавший криптид
Journal/joeq2	Chupacabra, Joe's beloved dog, is missing. I need to help find him.	Чупакабра, любимото куче на Джо, изчезна. Трябва да помогна да го намеря.	Chupacabra, le chien bien-aimé de Joe, est porté disparu. Je dois l'aider à le retrouver.	Чупакабра, любимый пес Джо, пропал. Мне нужно помочь найти его.
Journal/joeq2::1	Repair the forest ropeway on level 3.	Поправи въжената линия в гората на ниво 3.	Réparez le téléphérique au niveau 3 de la forêt.	Восстановить лесную канатную дорогу на уровне 3.
Journal/joeq2::2	Find Chupacabra in the forest.	Намери Чупакабра в гората.	Trouvez Chupacabra dans la forêt.	Найти Чупакабру в лесу.
Journal/joeq2::3	Come back to Joe.	Върни се при Джо.	Retournez voir Joe.	Вернуться к Джо.
Journal/joeqWait::2	Try coming another day for something new.	Опитай пак утре за нещо ново.	Essayez de revenir un autre jour pour de nouvelles choses.	Попробовать прийти в другой день за чем-нибудь новым.
Journal/joeq3Title	Radio Free North America	Радио Свободна Северна Америка	Radio North America Libre	Свобода радио
Journal/joeq3	There are rumours about a broadcast in English coming from Mexico, warning American citizens and exposing lies of the government. I want to catch it somewhere from the desert.	Има слухове за излъчване на английски от Мексико, което предупреждава американските граждани и разкрива лъжите на правителството. Искам да го хвана някъде в пустинята.	Il y a des rumeurs sur une émission en anglais en provenance du Mexique, mettant en garde les citoyens américains et dénonçant les mensonges du gouvernement. Je veux la capter quelque part dans le désert.	Ходят слухи о передаче из Мексики на английском языке. Она предупреждает американских граждан и разоблачает ложь правительства. Хочу поймать ее где-нибудь в пустыне.
Journal/joeq3::1	Bring Joe <color=yellow>5 electronics</color>.	Донеси на Джо <color=yellow>5 електроника</color>	Apportez <color=yellow>5 composants électroniques</color> à Joe.	Принести Джо <color=yellow>5 электроники</color>.
Journal/joeq3::1bck	Bring Joe $item$.	Дай на Джо $item$.	Apportez $item$ à Joe.	Принести Джо: $item$.
Journal/joeq3::2	Come back to Joe later.	Върни се при Джо по-късно.	Revenez voir Joe plus tard.	Вернуться к Джо позже.
Journal/joeq3::3	Catch the signal.	Хвани сигнала.	Captez le signal.	Поймать сигнал.
Journal/joeq3::4	Come back to Joe and tell him about the broadcast.	Върни се при Джо и му разкажи за излъчването.	Retournez voir Joe et parlez-lui de l'émission.	Вернуться к Джо и рассказать ему о передаче.
Journal/fortObserverTitle	Who Observes the Observer?	Кой наблюдава наблюдателя?	Qui observe l'observateur?	А наблюдатели кто?
Journal/fortObserver	I need to get to the Fort Observer and obtain a rocket control module from there.	Трябва да стигна до наблюдателната кула на крепостта и да взема ракетен контролен модул оттам.	Je dois me rendre au Fort Observer et obtenir un module de contrôle de fusée.	Мне нужно добраться до базы «Наблюдатель» и раздобыть модуль управления ракетой.
Journal/fortObserver::1	Ask Joe about the location of Fort Observer.	Попитай Джо за местоположението на Форт Наблюдател.	Demandez à Joe l'emplacement de Fort Observer.	Спросить Джо о местоположении базы «Наблюдатель».
Journal/fortObserver::2	Earn Joe's trust.	Спечели доверието на Джо.	Gagnez la confiance de Joe.	Заслужить доверие Джо.
Journal/fortObserver::3	Ask Joe about Fort Observer.	Попитай Джо за Fort Observer.	Questionnez Joe à propos de Fort Observer.	Спросить Джо о базе «Наблюдатель».
Journal/fortObserver::4	Go to Fort Observer.	Отиди в бункера.	Allez à Fort Observer.	Отправиться на базу «Наблюдатель».
Journal/fortObserver::5	Find control module that you can use in your rocket.	Намери контролен модул, който можеш да използваш в твоята ракета.	Trouvez le module de contrôle que vous pourrez utiliser dans votre fusée	Найти модуль управления ракетой.
Journal/fortObserver::6	Find a way to trick AI to release you with control module.	Намери начин да измамиш AI да те освободи с контролния модул.	Trouvez un moyen de tromper l'IA pour vous laisser avec le module de contrôle	Найти способ обмануть ИИ, чтобы вынести модуль управления.
Journal/bobq1Title	This Elevator of Mine	Моят асансьор	Mon Élévateur	Кто ты без лифта?
Journal/bobq1	I met Bob, a slightly shady character taking care of the mine. He wants me to fix the elevator.	Срещнах Боби, малко съмнителен тип, който се грижи за мината. Иска да поправя асансьора.	J'ai rencontré Bob, un mec un peu louche qui s'occupe de la mine. Il me demande de réparer l'ascenseur.	Я познакомился с Бобом, немного подозрительным типом, который присматривает за шахтой. Он хочет, чтобы я починил лифт.
Journal/bobq1::1	Check the elevator.	Провери асансьора.	Vérifiez l'ascenseur.	Осмотреть лифт.
