# key	english	bulgarian	french	russian
Dialogues/prepGlassComplete9	<voice type=acceptance>\nOh. This is quite a collection.	<voice type=acceptance>\nО. Това е доста колекция.	<voice type=acceptance>\nOh. C'est toute une collection.	<voice type=acceptance>\nОго. Солидная коллекция.
Dialogues/bobGlassComplete10	Now you understand the secrecy? I have always loved books and comics. Too much for my own good, it turned out.\nWhen the new government started implementing censorship laws, I didn't really believe they would act on them.\nUp to the day the Agency came into my house and confiscated all my books. Not all were “subversive”, as they say, but they took everything anyway.\nEverything — Civil War era pamphlets, Little Nemo, Jules Verne, pre-war Superman, Sylvia Plath.\nAnd then they took my job – I used to be a teacher, you know. But possession of subversive materials is bad influence on the youth.	Сега разбираш ли тайната? Винаги съм обичал книги и комикси. Малко прекалено, както се оказа.\nКогато новото правителство започна да въвежда закони за цензура, не вярвах, че ще ги прилагат.\nДо деня, в който Агенцията нахлу в дома ми и конфискува всичките ми книги. Не всички бяха „подривни“, както казват, но взеха всичко, което намериха.\nВсичко — брошури от епохата на Гражданската война, Малкият Немо, Жул Верн, предвоенен Супермен, Силвия Плат.\nИ тогава ми взеха работата — бях учител, знаеш. Но притежанието на	Vous comprenez maintenant mon secret? J'ai toujours aimé les livres et les bandes dessinées. Trop pour mon propre bien, on dirait.\nLorsque le nouveau gouvernement a commencé à appliquer les lois de censure, je ne pensais vraiment pas qu'il agirait contre ça.\nJusqu'au jour où l'Agence est entrée chez moi et a confisqué tous mes livres. Tous n'étaient pas "subversifs", comme on dit, mais ils ont quand même tout pris.\nTout - brochures de l'époque de la guerre civile, Little Nemo, Jules Verne, Superman d'avant-guerre, Sylvia Plath.\nEt puis ils ont pris mon travail - j'étais professeur, vous savez. Mais la possession de matériel subversif a une mauvaise influence sur les jeunes.	Теперь ты понимаешь, к чему вся эта секретность? Я всегда любил книги и комиксы. Именно это меня и погубило.\nКогда правительство стало вводить цензуру, я до последнего не верил, что эти законы действительно войдут в силу.\nНо однажды люди из Агентства пришли ко мне домой и конфисковали все мои книги. «Деструктивный характер», как они выразились, носили только некоторые из них, но забрали они все.\nВообще все... Брошюры времен Гражданской войны, книжки про Немо, довоенные комиксы про Супермена, книги Жуля Верна и Сильвии Плат.\nА еще они отняли у меня работу... Я ведь раньше был учителем. Но человек, владеющий запрещенной литературой, будет подавать плохой пример молодежи.
Dialogues/prepGlassComplete11	But it seems the punishment didn't work well. You're a habitual offender.	Но изглежда наказанието не подейства добре. Ти си рецидивист.	Mais il semble que la punition n'ait pas bien fonctionné. Vous êtes un révolutionnaire invétéré.	Похоже, что наказание тебя не исправило. Ты закоренелый преступник.
Dialogues/bobGlassComplete12	True. Collecting is way harder now than it used to be. I managed to gather some wonders and curiousities though. \nAnd please don't ask me where I have the contemporary European comic strips from.\nPlease take a look if you want!\n	Вярно. Събирането сега е много по-трудно, отколкото преди. Успях да събера някои чудеса и любопитни неща. \nИ моля те, не ме питай откъде имам съвременните европейски комикси.\nРазгледай, ако искаш!\n	C'est vrai. Collectionner est beaucoup plus difficile maintenant qu'auparavant. Bien que j'ai réussi à rassembler quelques merveilles et curiosités.\nEt s'il vous plait, ne demandez pas d'où proviennent les bandes dessinées européennes contemporaines.\nJetez un œil si vous le souhaitez!	Да уж. Сейчас заниматься коллекционированием куда сложнее, чем раньше. Но мне все же удалось раздобыть несколько интересных экземпляров.\nА еще не спрашивай, пожалуйста, откуда у меня современные европейские комиксы.\nЕсли хочешь – взгляни!
Dialogues/bobHydrogen1	Uhm, hey, Prepper… One more thing before you go.	Хей, препър… Едно последно нещо преди да тръгнеш.	Heu, hé, Prepper... Une dernière chose avant de partir.	Эм, слушай, Выживальщик... Пока ты не ушел...
Dialogues/prepHydrogen2	<voice type=question>\nYes?	<voice type=question>\nДа?	<voice type=question>\nOui?	<voice type=question>\nДа?
Dialogues/bobHydrogen3	As you go on exploring the mine… Please be careful.\n<voice type=order>\nAnd under no circumstances, please don't go to the 5th level of the mine. It's way too dangerous. I myself never go there.\n	Докато продължаваш да изследваш мината... Моля, бъди внимателен.\n<voice type=order>\nИ в никакъв случай, моля те, не ходи на 5-ия етаж на мината. Много е опасно. Аз самият никога не ходя там.\n	Pendant que vous explorez la mine… Soyez prudent.\n<voice type=order>\nEt n'allez en aucun cas au 6e niveau de la mine. C'est beaucoup trop dangereux. Moi-même je n'y vais jamais.	Когда пойдешь исследовать шахты... будь осторожен.\n<voice type=order>\nИ ни в коем случае не спускайся на пятый уровень. Это слишком опасно. Сам я туда никогда не ходил.
Dialogues/prepHydrogen4	<voice type=surprise>\nUhm, okay. Why is that?	<voice type=surprise>\nЕ, добре. Защо е това?	<voice type=surprise>\nHeu, d'accord. Pourquoi ça?	<voice type=surprise>\nЭм, ладно. А что там?
Dialogues/bobHydrogen5	Before the government had abandoned the mine, they were doing some technology experiments here.\nBasically, they were using hydrogen-based mining explosives.\n	Преди правителството да изостави мината, те правеха някои технологични експерименти тук.\nОсновно използваха водородни експлозиви за добив.\n	Avant que le gouvernement n'ait abandonné la mine, ils faisaient des expériences technologiques ici.\nEn gros, ils utilisaient des explosifs miniers à base d'hydrogène.	До того, как забросить шахты, правительство проводило там эксперименты.\nОни испытывали для горных работ взрывчатые вещества на основе водорода.
Dialogues/prepHydrogen6	<voice type=question>\nAnd how did it go?	<voice type=question>\nИ как мина?	<voice type=question>\nEt comment ça s'est passé?	<voice type=question>\nИ как все прошло?
Dialogues/bobHydrogen7	Not very well. But there is still a lot of hydrogen containers down there.\nPlease don't go there. You would risk blowing yourself up with the whole mine.\n	Не много добре. Но има още много контейнери с водород долу.\nМоля те, не ходи там. Рискуваш да се взривиш заедно с цялата мина.\n	Pas très bien. Mais il y a encore beaucoup de conteneurs d'hydrogène là-bas.\nS'il vous plait n'y allez pas. Vous risqueriez de vous faire exploser et toute la mine avec.	Не слишком успешно. Но там до сих пор осталось много контейнеров с водородом.\nПожалуйста, не ходи туда, если не хочешь, чтобы вся шахта взлетела на воздух.
Dialogues/prepHydrogen8	<voice type=acceptance>\nOh, this sounds very dangerous indeed! I will keep well away from there.\n(Hydrogen, you say. That's interesting…)\n	<voice type=acceptance>\nО, това звучи много опасно наистина! Ще стоя далеч от там.\n(Водород, казваш. Това е интересно…)\n	<voice type=acceptance>\nOh, ça semble très dangereux en effet! Je m'en tiendrai bien éloigné.\n(Hydrogène, vous dites. C'est intéressant…)	<voice type=acceptance>\nДа уж, кажется, там и правда опасно! Буду держаться подальше.\n(Водород, говоришь? Интересно…)
Dialogues/bobSleepless1	<voice type=surprise>\nHey! It's you! What are you doing here?	<voice type=surprise>\nХей! Ти си тук! Какво правиш тук?	<voice type=surprise>\nHé! C'est vous! Que faites-vous ici?	<voice type=surprise>\nО, это ты! Что ты тут делаешь?
Dialogues/prepSleepless2	<voice type=surprise>\nWhat are *you* doing here? You said you never went down here! And where does this door lead to?	<voice type=surprise>\nКакво правиш тук? Казваше, че никога не си слизал тук! И къде води тази врата?	<voice type=surprise>\nQue faites-"vous" ici? vous avez dit que vous n'étiez jamais descendu ici! Et où mène ce passage?	<voice type=surprise>\nА ты что тут делаешь? Ты же говорил, что никогда сюда не спускался! И куда ведет эта дверь?
Dialogues/bobSleepless3	<voice type=order>\nI asked the question first! And I'm the one who let you into the mine!	<voice type=order>\nАз зададох въпроса първи! И аз те впуснах в рудника!	<voice type=order>\nJ'ai posé la question en premier! Et je suis celui qui vous a laissé entrer dans la mine!	<voice type=order>\nЯ первым задал вопрос! И именно я пустил тебя в шахту!
Dialogues/prepSleepless4	And I have repaired your damn elevator so you can come down here!	И аз поправих проклетия ти асансьор, за да можеш да слезеш тук!	Et j'ai réparé votre fichu ascenseur pour que vous puissiez venir ici!	А я починил чертов лифт, чтобы ты мог сюда спускаться!
Dialogues/bobSleepless5	...		...	...
Dialogues/prepSleepless6	Okay. I'll tell you if you tell me.	Добре. Ще ти кажа, ако и ти ми кажеш.	Ok. Je vous le dirai si vous me le dites.	Хорошо, я отвечу, если ответишь ты.
Dialogues/bobSleepless7	Mmm. Fine. But you go first!	Хмм. Добре. Но ти първи!	Hmmm. Bien. Mais vous en premier!	М-м. Ладно. Но ты первый!
Dialogues/prepSleepless8	Ugh. Okay. So I was drawn here by your mention of hydrogen.	Уф. Добре. Така че те дойдох тук заради споменаването на водород.	Ugh. Ok. Donc, j'ai été attiré ici quand vous avez mentionné l'hydrogène.	Тьфу, ладно. Я пришел сюда, потому что ты упоминал водород.
Dialogues/bobSleepless9	<voice type=surprise>\nWhat?! Why the hell would you?	<voice type=surprise>\nКакво?! Защо мислиш да направиш това?	<voice type=surprise>\nQuoi?! Pourquoi diable l'hydrogène vous intéresse?	<voice type=surprise>\nЧто?! На кой черт он тебе сдался?
Dialogues/prepSleepless10	So I have this small… crafting project. In my basement.\nI'm building a rocket to get out of here.\nAnd hydrogen could actually be useful as a fuel.	Така че имам този малък… проект за изработка. В мазето ми.\nСтроя ракета, за да се измъкна оттук.\nИ водородът всъщност може да бъде полезен като гориво.	Donc, j'ai ce petit… projet artisanal. Dans mon sous-sol.\nJe construis une fusée pour partir d'ici.\nEt en fait, l'hydrogène pourrait m'être utile comme carburant.	Ну, у меня есть один небольшой проект... по разработке кое-чего. В моем подвале.\nСтрою ракету, чтобы улететь отсюда.\nА из водорода может получиться отличное топливо.
Dialogues/bobSleepless11	…\nYou're… Weirder than I thought, Prepper. \nOkay, so I guess it's the time for my part of the deal. But remember – not a word to anyone or people might die.\n<voice type=question>\nShall we get inside?	…\nТи си… По-странен, отколкото си мислех, Препър. \nДобре, време е за моята част от сделката. Но помни – не казвай на никого, иначе хората може да умрат.\n<voice type=question>\nДа влезем ли?	…\nVous êtes ... Plus étrange que je ne le pensais, Prepper.\nD'accord, donc je suppose que c'est le moment d'honorer ma parole. Mais rappelez-vous - pas un mot à qui que ce soit ou des gens pourraient mourir.\n<voice type=question>\nRentrons à l'intérieur!	…\nДа ты… страннее, чем я думал, Выживальщик.\nТеперь, думается, моя очередь. Но помни – никому ни слова, иначе могут погибнуть люди.\n<voice type=question>\nПройдем внутрь?
Dialogues/prepSleepless12	<voice type=surprise>\nOh my. I see you are not the only one coming down here.	<voice type=surprise>\nО, моя. Виждам, че не си единственият, който идва тук.	<voice type=surprise>\nOh mon. Je vois que vous n'êtes pas le seul à venir ici.	<voice type=surprise>\nЧерт. Видимо, не только ты сюда спускаешься.
Dialogues/bobSleepless13	No. There's more of us, and we call ourselves the Sleepless. We fight the mind control measures the government forces upon us. Ever noticed you will always fall asleep on 3 AM, no matter what? Ever noticed concentration problems? Headaches? Faulty memory?	Не. Ние сме повече, и се наричаме Безсънните. Борим се срещу мерките за контрол на ума, които правителството ни налага. Забелязал ли си, че винаги заспиваш в 3 сутринта, независимо какво правиш? Забелязал ли си проблеми с концентрацията? Главоболие? Неправилна памет?	Non. Nous sommes plus nombreux et nous nous appelons les Éveillés.\nNous combattons les mesures de contrôle mental que le gouvernement nous impose.\nAvez-vous déjà remarqué que vous vous endormirez toujours à 3 heures du matin, quoi qu'il arrive? Avez-vous déjà remarqué des problèmes de concentration? Maux de tête? Mémoire défectueuse?	Ты прав. Нас много, и мы зовем себя Неспящими.\nПравительство пытается захватить контроль над разумом своих граждан, а мы пытаемся дать им отпор.\nЗамечал когда-нибудь, что всегда, несмотря ни на что, засыпаешь ровно в 3 ночи? А замечал ли проблемы с концентрацией внимания? Были головные боли? Память подводила?
Dialogues/prepSleepless14	Of course I have. The compulsory bedtime is driving me nuts.	Разбира се, че имам. Задължителното време за лягане ме побърква.	Bien sûr que j'ai remarqué. L'heure du coucher obligatoire me rend dingue.	Конечно, было дело. Принудительный сон просто сводит меня с ума.
Dialogues/bobSleepless15	        \nWe're sure it's the thing in the sky, the Brazen Serpent. Supposed to be protecting us, bless-the-president. But it's sending waves that mess with our brains. Making us complacent.\nWe're trying to overcome the 3 AM reset. We believe it's the key to mind control.	        \nСигурни сме, че е нещо в небето, Змийската брадва. Трябва да ни пази, да благослови президента. Но изпраща вълни, които объркват мозъците ни. Прави ни самодоволни.\nОпитваме се да преодолеем нулирането в 3 часа сутринта. Вярваме, че това е ключът към контрола на ума.	Nous sommes sûrs que c'est la chose dans le ciel, le Serpent d'Airain. Censé nous protéger, gloire au Président. Mais ça envoie des ondes qui dérangent notre cerveau. Nous rendant complaisants.\nNous essayons de surmonter la réinitialisation de 3 heures du matin. Nous pensons que c'est la clé du contrôle mental.	Мы уверены, что все это происходит из-за «Медного змия» в небе. Предполагается, что он нас защищает, боже-храни-Президента. Но он посылает волны, которые влияют на наше сознание. Заставляют нас расслабляться.\nМы пытаемся справиться с отключкой в 3 ночи. Мы верим, что именно в этом ключ к управлению разумом.
Dialogues/prepSleepless16	<voice type=question>\nAnd… how is it going so far?	<voice type=question>\nИ… как минава досега?	<voice type=question>\nEt… comment ça avance jusqu'à présent?	<voice type=question>\nИ... как все продвигается?
Dialogues/bobSleepless17	Well, we have… preliminary successes. With the help of certain strong substances, some of us were able to stay awake through 3 AM.\nThose substances have some troublesome side effects though.	Е, имаме... предварителни успехи. С помощта на определени силни вещества, някои от нас успяха да останат будни до 3 сутринта.\nТези вещества обаче имат някои неприятни странични ефекти.	Eh bien, nous avons… des succès préliminaires. Avec l'aide de certaines substances fortes, certains d'entre nous ont pu rester éveillés après 3 heures du matin.\nCes substances ont cependant des effets secondaires indésirables.	Ну, у нас есть кое-какие успехи... При помощи некоторых очень сильных веществ мы можем не засыпать в 3 ночи.\nОднако у этих веществ есть побочные эффекты.
Dialogues/prepSleepless18	…And that's why you try them out in a den halfway to the centre of the Earth.	И затова ги пробваш в бърлога на половината път до центъра на Земята.	… Et c'est pourquoi vous les essayez dans un repaire à mi-chemin du centre de la Terre.	...И поэтому ты пробуешь их в норе чуть ли не в центре Земли.
Dialogues/bobSleepless19	That and for keeping well away from the Agency.	Това и за да стоиш далеч от Агенцията.	Ça et pour se tenir à l'écart de l'Agence.	Это нужно и для того, чтобы держать Агентство в неведении.
Dialogues/prepSleepless20	Makes sense. And I think I know now where all the herbal teas go.	Има смисъл. И мисля, че вече знам къде отиват всички билкови чайове.	Logique. Et je pense que je sais maintenant où vont toutes ces tisanes.	Звучит логично. Теперь понятно, куда уходит весь травяной чай.
Dialogues/bobSleepless21	I know you have met Jenny already. We'll give her a green light to help you in case you're in need.\nYou're a peculiar man, Prepper, but I trust you.	Знам, че вече си срещнал Джени. Ще й дам зелена светлина да ти помогне, ако имаш нужда.\nТи си странен човек, Препър, но ти вярвам.	Je sais que vous avez déjà rencontré Jenny. Nous lui donnerons le feu vert pour vous aider au cas où vous en auriez besoin.\nVous êtes un homme particulier, Prepper, mais je vous fais confiance.	Я знаю, что ты уже знаком с Дженни. Мы разрешим ей помогать тебе в случае необходимости.\nТы чудаковатый, Выживальщик, но я тебе доверяю.
Dialogues/prepSleepless22	Thanks. I'll get back to my things. Good luck with staying awake.	Благодаря. Ще се върна към моите неща. Успех с оставането буден.	Merci. Je retourne à mes moutons. Bonne chance pour rester éveillé.	Спасибо. Пора мне возвращаться к своим делам. Удачи с бодрствованием.
Dialogues/bobSleepless23	Doing our best.\nAnd oh, Prepper?\nPlease, please don't blow us all up with that hydrogen.	Даваме най-доброто от себе си.\nИ, ох, Препър?\nМоля те, моля те, не ни взривявай всички с този водород.	Nous faisons de notre mieux.\nEt oh, Prepper?\nPitié, ne nous faites pas exploser avec tout cet hydrogène.	Делаем все, что в наших силах.\nИ вот еще что, Выживальщик.\nПожалуйста, не взорви нас своим водородом.
Dialogues/prepSleepless24	Please, please don't blow us all up with that hydrogen.	Моля те, моля те, не ни взривявай всички с този водород.	Pitié, ne nous faites pas exploser avec tout cet hydrogène.	Пожалуйста, не взорви нас своим водородом.
Dialogues/postRand1	<voice type=thanks>\nWhat a lovely weather today!	<voice type=thanks>\nКакво хубаво време днес!	<voice type=thanks>\nQuel beau temps aujourd'hui!	<voice type=thanks>\nКакая прекрасная сегодня погода!
Dialogues/postRand2	<voice type=upset>\nA foul weather today. Or maybe it's just my mood?	<voice type=upset>\nЕдин гаден ден днес. Или може би просто ми е настроението?	<voice type=upset>\nMauvais temps aujourd'hui. Ou peut-être que c'est juste mon humeur?	<voice type=upset>\nУжасная погода. Или дело в моем настроении?
Dialogues/postRand3	<voice type=upset>\nI had trouble falling asleep last night. I was watching the Brazen Serpent shining in the sky. Finally fell asleep around 3, I guess.	<voice type=upset>\nИмам проблеми със заспиването от миналата нощ. Гледах Бързеният Змей, който блести на небето. Накрая успя да заспа около 3, мисля.	<voice type=upset>\nJ'ai eu du mal à m'endormir la nuit dernière. Je regardais le Serpent d'Airain briller dans le ciel. Finallement je me suis endormi vers 3 heures, je suppose.	<voice type=upset>\nСегодня у меня были проблемы со сном. Я все смотрел, как «Медный змий» мерцает в небе. В конце концов уснул около 3 ночи.
Dialogues/postRand4	I used to have more newspapers to carry around, but now people only read the Truth. Well, it's definitely better for my back.	Преди имах повече вестници за носене, но сега хората четат само Истината. Е, определено е по-добре за гърба ми.	J'avais l'habitude d'avoir plus de journaux à porter, sauf que maintenant les gens ne lisent plus que la Vérité. Mais bon, c'est bien mieux pour mon dos.	Раньше я разносил самые разные газеты, но сейчас люди читают только «Правду». Что ж, моей же спине лучше.
Dialogues/postRand5	<voice type=acceptance>\nAlways clinks and clanks coming from your house, Mr. Prepper. It's good to keep yourself busy!	<voice type=acceptance>\nВинаги дрънчи и трака от къщата ти, господин Препър. Хубаво е да си зает!	<voice type=acceptance>\nToujours des cliquetis et des bruits venant de votre maison, Mr. Prepper. C'est bien d'être occupé!	<voice type=acceptance>\nИз вашего дома все время доносится звон и лязг, мистер Выживальщик. Хорошо, что вы всегда чем-то заняты!
Dialogues/postRand6	<voice type=surprise>\nFunny, every day I pass a dog park, but I haven't seen a dog in quite a while.	<voice type=surprise>\nСмешно, всеки ден преминавам покрай зоопарк, но не виждам куче от доста време.	<voice type=surprise>\nC'est drôle, chaque jour je passe dans un parc à chien, mais je n'ai pas vu de chien depuis longtemps.	<voice type=surprise>\nЗабавно. Я каждый день прохожу мимо собачьего парка, но уже давно не видел там ни одной собаки.
Dialogues/postRand7	<voice type=disappointment>\nI remember we used to enjoy gondola lift rides through the forest on sunny Sundays, before the Plague. Somebody should bring the lift back to life.	<voice type=disappointment>\nПомня, че харесвахме да караме с гондола през гората в слънчеви неделя, преди Празката. Някой трябва да върне гондолата в действие.	<voice type=disappointment>\nJe me souviens que nous avions l'habitude de faire des balades en télécabine à travers la forêt les dimanches ensoleillés, avant la Peste. Quelqu'un devrait réparer le téléphérique.	<voice type=disappointment>\nПомню, как мы раньше катались по лесу на подъемнике. Воскресенье, солнышко! Вот бы снова так покататься, да кто б его починил...
Dialogues/postRand8	The rumour is that Mr. Johnson woke up in someone else's bed last Saturday. He swears he doesn't know how it happened. Mrs. Johnson is not having it!	Мълвата е, че мистър Джонсън се е събудил в чуждо легло миналия събота. Той се кълне, че не знае как се е случило. Госпожа Джонсън не му вярва!	La rumeur veut que Mr. Johnson se soit réveillé dans le lit de quelqu'un d'autre samedi dernier. Il jure qu'il ne sait pas comment c'est arrivé. Mme Johnson ne le croit pas!	Ходят слухи, что в прошлую субботу мистер Джонсон проснулся в чужой постели. Он клянется, что не знает, как это произошло, а миссис Джонсон не верит ни единому его слову!
Dialogues/postRand9	Ah, so many letters to deliver today.	Ах, толкова много писма за доставка днес.	Ah, tant de lettres à distibuer aujourd'hui.	Столько писем нужно сегодня разнести.
Dialogues/postRand10	<voice type=greeting>\nGood morning, Mr. Prepper, there's mail for you again! You seem to have a lot of pen pals, that's nice.	<voice type=greeting>\nДобро утро, г-н Препър, отново имаш писма! Изглежда имаш много приятели, това е хубаво.	<voice type=greeting>\nBonjour, Mr. Prepper, il y a encore du courrier pour vous! Vous semblez avoir beaucoup de correspondants, c'est bien.	<voice type=greeting>\nДоброе утро, мистер Выживальщик, вам письмо! Кажется, у вас много друзей по переписке, это радует.
Dialogues/postRand11	The building of the Agency looked busier than usual today. I wonder what that might mean.	Сградата на Агенцията изглеждаше по-оживена от обикновено днес. Чудя се какво може да означава това.	Le bâtiment de l'Agence semblait plus occupé que d'habitude aujourd'hui. Je me demande ce que ça veut dire.	Сегодня в здании Агентства было много шума. Интересно, что это значит.
Dialogues/postRand12	<voice type=greeting>\nYou've got mail!	<voice type=greeting>\nИмаш поща!	<voice type=greeting>\nVous avez du courrier!	<voice type=greeting>\nВам письмо!
Dialogues/postRand13	<voice type=question>\nUnreceived mail is piling up in the mailbox of Bob, the former teacher. Has he gone on a vacation or something?	<voice type=question>\nНеотворената поща се натрупва в пощенската кутия на Боб, бившият учител. Е тръгнал на почивка или нещо подобно?	<voice type=question>\nLe courrier s'entasse dans la boîte aux lettres de Bob, l'ancien professeur. Il est parti en vacances ou quoi?	<voice type=question>\nУ Боба, бывшего учителя, неразобранная почта в ящике. Интересно, он в отпуск уехал?
Dialogues/postRand14	These days many people in the town just look at me empty-eyed when I bring them mail. People used to be more polite and respect the postal workers more.	Тези дни много хора в града ме гледат с празен поглед, когато им нося пощата. Хората някога бяха по-учтиви и уважаваха пощальоните повече.	De nos jours, beaucoup de gens de la ville me regardent les yeux vides quand je leur apporte du courrier. Les gens étaient plus polis et respectaient davantage les postiers avant.	В наши дни многие горожане лишь смотрят сквозь меня, когда я приношу им почту. Раньше люди были вежливее и больше уважали почтальонов.
Dialogues/postRand15	<voice type=anger>\nSome graffiti appeared around the town lately. Weird slogans on staying awake, clumsy drawings of eyes. Senseless vandalism if you ask me.	<voice type=anger>\nНякакви графити се появиха из града напоследък. Странни лозунги за оставане буден, тромави рисунки на очи. Безсмислен вандализъм, ако ме питаш.	<voice type=anger>\nDes graffitis sont apparus récemment dans la ville. Des slogans étranges pour rester éveillé, des dessins maladroits d'yeux. Vandalisme insensé si vous me demandez.	<voice type=anger>\nНедавно в городе начали появляться граффити. Странные призывы к бодрствованию, топорные рисунки глаз. Я считаю, что это бессмысленный вандализм.
Dialogues/postRand16	<voice type=upset>\nIt used to be more lively here in the neighborhood.	<voice type=upset>\nПреди беше по-живо тук в квартала.	<voice type=upset>\nAvant, c'était plus vivant dans le quartier.	<voice type=upset>\nЭтот район раньше был оживленнее.
Dialogues/postRand17	<voice type=question>\nHow are you, Mr. Prepper? This morning I took a wrong turn and lost my way. Funny, I must be getting old!	<voice type=question>\nКак си, господин Препър? Тази сутрин взех грешен завой и се изгубих. Смешно, май остарявам!	<voice type=question>\nComment allez-vous, Mr. Prepper? Ce matin, j'ai pris la mauvaise direction et je me suis perdu. Marrant, je dois vieillir!	<voice type=question>\nКак ваши дела, мистер Выживальщик? Этим утром я свернул не туда и заблудился. Видать, старею!
Dialogues/postRand18	<voice type=surprise>\nI've recently heard of wolves coming back to the forest outside town. Can you believe it?	<voice type=surprise>\nНаскоро чух за вълци, които се връщат в гората извън града. Можеш ли да повярвай?	<voice type=surprise>\nJ'ai récemment entendu parler de loups revenant dans la forêt à l'extérieur de la ville. Pouvez-vous le croire?	<voice type=surprise>\nНедавно я услышал, что в лес за городом возвращаются волки. Можете в это поверить?
Dialogues/postRand19	<voice type=question>\nDo you sometimes think that your letters travel further than you ever will?	<voice type=question>\nПонякога мислиш, че писмата ти пътуват по-далеч от това, което някога ще направиш?	<voice type=question>\nPensez-vous parfois que vos lettres voyagent plus loin que vous ne le ferez jamais?	<voice type=question>\nВы когда-нибудь задумывались о том, что ваши письма путешествуют дальше, чем когда-нибудь будете путешествовать вы?
Dialogues/postRand20	<voice type=greeting>\nMornin'! We have a new series of stamps! Exciting, isn't it? It's – yeah, you guessed it – our beloved President. His left profile this time.	<voice type=greeting>\nДобро утро! Имаме нова серия марки! Вълнуващо, нали? Това е – да, познахте – нашият любим президент. Този път е с левия си профил.	<voice type=greeting>\nBonjour! Nous avons une nouvelle série de timbres! Excitant, non? C'est - ouais, vous l'avez deviné - notre bien-aimé Président. Son profil gauche cette fois.	<voice type=greeting>\nУтро доброе! У нас появилась новая серия марок! Потрясающе, не правда ли? И – как вы уже могли догадаться – они с изображением нашего любимого Президента. В этот раз представлен его профиль с левой стороны.
Dialogues/postRand21	You know, Mr. Prepper, I also had these daily visits from the Agency some time ago, after I had done a small mistake at work. Be patient, they will get bored at one point.	Знаеш, господин Препър, и аз имах такива ежедневни посещения от Агенцията преди време, след като направих малка грешка на работа. Бъди търпелив, в един момент ще им писне.	Vous savez, Mr. Prepper, j'ai également eu ces visites quotidiennes de l'Agence il y a quelque temps, après avoir commis une petite erreur au travail. Soyez patient, ils se lasseront à un moment donné.	Знаете, мистер Выживальщик, ко мне раньше тоже каждый день захаживали из Агентства – после того, как я допустил ошибку на работе. Проявите терпение, в один прекрасный день им это наскучит.
Dialogues/postRand22	<voice type=greeting>\nGood morning, Mr. Prepper! I like that you're always up to something. Murricaville is a rather sleepy town these days.	<voice type=greeting>\nДобро утро, г-н Препър! Харесва ми, че винаги си за нещо. Мърицивил е доста тих град в наши дни.	<voice type=greeting>\nBonjour, Mr. Prepper! J'aime que vous soyez toujours occupé. Murricaville est une ville plutôt endormie de nos jours.	<voice type=greeting>\nДоброе утро, мистер Выживальщик! Мне нравится, что вы всегда такой занятой. Мерикосвиль в последнее время словно погрузился в спячку.
Dialogues/postRand23	<voice type=greeting>\nHey Mr. Prepper! I hope you're dealing well with the shortages! It's always good to keep some emergency supplies in case the electricity goes out again.	<voice type=greeting>\nЗдравей, г-н Препър! Надежда да се справяш добре с дефицитите! Винаги е добре да имаш някакви аварийни запаси, ако отново изчезне ток.	<voice type=greeting>\nSalut Mr. Prepper! J'espère que vous gérez bien les pénuries! Il est toujours bon de garder des fournitures d'urgence au cas où l'électricité serait encore coupée.	<voice type=greeting>\nЭй, мистер Выживальщик! Надеюсь, вы справляетесь с отключением электричества. Всегда полезно иметь аварийный запас на такой случай.
Dialogues/postRand24	<voice type=question>\nWhat was I… ah, yes. The mail. Now I remember.	<voice type=question>\nКакво бях… ах, да. Пощата. Сега си спомням.	<voice type=question>\nQu'est-ce que j'étais… ah, oui. Le courrier. Maintenant, je me souviens.	<voice type=question>\nО чем это я… Ах да. Письмо. Вспомнил.
Dialogues/postRand25	<voice type=greeting>\nHello, Mr. Prepper! I hope you'll find only good news in the mail today!	<voice type=greeting>\nЗдравей, г-н Препър! Надежда да днес в пощата ще намери само добри новини!	<voice type=greeting>\nBonjour, Mr. Prepper! J'espère que vous n'aurez que des bonnes nouvelles aujourd'hui!	<voice type=greeting>\nЗдравствуйте, мистер Выживальщик! Надеюсь, сегодня в вашей почте только благие вести!
