# key	english	bulgarian	french	russian
Items/Hamster2	Golden-white-grey hamster	Златисто-бяло-сив хамстер	Hamster gris, blanc et doré	Бело-серо-золотистый хомяк
Items/DesHamster2	A medium-sized hamster with a mixed, golden-white-grey coloration. Can produce a medium amount of electricity in its hamster wheel.	Средно голям хамстер с разноцветна козина в златисто, бяло и сиво. Може да произведе средно количество електричество в своето колело.	Un hamster de taille moyenne avec une robe mixte de couleur grise, blanche et dorée. Produit une quantité moyenne d'électricité dans sa roue pour hamster.	Хомяк среднего размера с бело-серо-золотистой окраской. Может крутить колесо и вырабатывать среднее количество электричества.
Items/Hamster3	Grey hamster	Сив хамстер	Hamster gris	Серый хомяк
Items/DesHamster3	A big, grey hamster. It's strong and can produce a big amount of electricity.	Голям сив хамстер. Силен е и може да произведе много електричество.	Un hamster de grande taille et de couleur grise. Très résistant, il produit une grande quantité d'électricité.	Большой серый хомяк. Сильный и может вырабатывать большое количество электроэнергии.
Items/HamsterCage	Basic hamster cage	Основна клетка за хамстер	Cage pour hamsters ordinaire	Стандартная клетка для хомяка
Items/DesHamsterCage	A basic, plastic cage with a small house. Good place to live for up to three hamsters.	Обикновена пластмасова клетка с малка къщичка. Добро място за живот на до три хамстера.	Une cage en plastique ordinaire avec une petite maison. Un endroit confortable pouvant abriter jusqu'à trois hamsters.	Стандартная пластиковая клетка с небольшим домиком. Хорошее место для жизни, вмещает до трех хомяков.
Items/HamsterCageBig	Large hamster cage	Голяма клетка за хамстери	Grande cage pour hamsters	Большая клетка для хомяков
Items/DesHamsterCageBig	A big cage with two separate small houses. Decent living quarters for up to six hamsters.	Голяма клетка с две отделни малки къщички. Прилични жилищни помещения за до шест хамстера.	Une grande cage avec deux petites maisons séparées. Un abri décent pour un maximum de six hamsters.	Большая клетка с двумя отдельными маленькими домиками. Достойное место для проживания, вмещает до шести хомяков.
Items/HamsterFeeder	Hamster cage with feeder	Клетка за хамстер с хранилка	Cage pour hamsters avec mangeoire	Клетка с кормушкой для хомяка
Items/DesHamsterFeeder	A hamster cage with a feeder included. The cute rodents can be fed with grain, vegetables, and seeds.	Клетка за хамстери с включен хранилка. Сладките гризачи могат да се хранят с зърно, зеленчуци и семена.	Une cage pour hamsters avec mangeoire intégrée. Ces adorables rongeurs peuvent être nourris de céréales, de légumes et de graines.	Клетка для хомяков с кормушкой в комплекте. Милых грызунов можно кормить зерном, овощами и семенами.
Items/HamsterGenerator	Hamster wheel generator	Генератор за колело на хамстер	Générateur de roue pour hamster	Колесо с генератором для хомяка
Items/DesHamsterGenerator	A hamster wheel plugged into a small electricity generator. An entertainment for your small pet and a clean source of energy for you. Don't forget to feed the hamsters!	Колело за хамстери, свързано с малък генератор. Забавление за твоя домашен любимец и чист източник на енергия за теб. Не забравяй да храниш хамстерите!	Une roue pour hamster équipée d'un petit générateur électrique. Il permet à vos petits animaux de faire de l'exercice tout en vous fournissant une energie propre. N'oubliez pas de nourrir vos hamsters !	Колесо для хомяка, подключенное к небольшому электрогенератору. Развлечение для вашего маленького питомца и чистый источник энергии для вас. Не забывайте кормить работяг!
Items/HamsterPipe	Hamster tubes	Тръби за хамстери	Tunnels pour hamster	Трубки для хомяков
Items/DesHamsterPipe	A way to connect all hamster cages.	Начин да свържеш всички клетки за хамстери.	Permet de connecter toutes les cages à hamsters.	Приспособление для соединения всех клеток хомяков.
Items/ChickenBabyBlack	Black chick	Черна пиленца	Poussin noir	Черный цыпленок
Items/DesChickenBabyBlack	A baby form of a black chicken. Will turn adult several days after hatching.	Пиленце от черен кокошка. Ще стане възрастно няколко дни след излюпването.	Un bébé de poule noire. Devient adulte quelques jours après l'éclosion.	Детеныш черной курицы. Вырастает во взрослую особь через несколько дней после вылупления.
Items/ChickenBabyGray	Grey chick	Сива пиленца	Poussin gris	Серый цыпленок
Items/DesChickenBabyGray	A baby form of a grey chicken. Will turn adult several days after hatching.	Пиленце от сива кокошка. Ще стане възрастно няколко дни след излюпването.	Un bébé de poule grise. Devient adulte quelques jours après l'éclosion.	Детеныш серой курицы. Вырастает во взрослую особь через несколько дней после вылупления.
Items/ChickenBabyWhite	White chick	Бяло пиленце	Poussin blanc	Белый цыпленок
Items/DesChickenBabyWhite	A baby form of a white chicken. Will turn adult several days after hatching.	Пиленце от бяла кокошка. Ще стане възрастно няколко дни след излюпването.	Un bébé de poule blanche. Devient adulte quelques jours après l'éclosion.	Детеныш белой курицы. Вырастает во взрослую особь через несколько дней после вылупления.
Items/ChickenBaby	Chick	Пиле	Poussin	Цыпленок
Items/DesChickenBaby	A baby form of a chicken. Will turn adult several days after hatching.	Пиленце. Ще порасне до възрастен пиле след няколко дни.	Un bébé de poule. Devient adulte quelques jours après l'éclosion.	Детеныш курицы. Вырастает во взрослую особь через несколько дней после вылупления.
Items/CowBabyBrown	Brown calf	Кафяво теле	Veau brun	Коричневый теленок
Items/DesCowBabyBrown	A baby form of a brown cow. Will turn adult several days after being born.	Малко теле от кафява крава. Ще стане възрастно няколко дни след раждането.	Un bébé de vache brune. Devient adulte quelques jours après la naissance.	Детеныш бурой коровы. Становится взрослой особью через несколько дней после рождения.
Items/CowBabySpotted	Spotted calf	Забелязано теле	Veau tacheté	Пятнистый теленок
Items/DesCowBabySpotted	A baby form of a spotted cow. Will turn adult several days after being born.	Бебе от петниста крава. Ще стане възрастно няколко дни след раждането.	Un bébé de vache tachetée. Devient adulte quelques jours après la naissance.	Детеныш пятнистой коровы. Становится взрослой особью через несколько дней после рождения.
Items/CowBabyWhite	White calf	Бяло теле	Veau blanc	Белый теленок
Items/DesCowBabyWhite	A baby form of a white cow. Will turn adult several days after being born.	Бебешка форма на бяла крава. Ще стане възрастно няколко дни след раждането.	Un bébé de vache blanche. Devient adulte quelques jours après la naissance.	Детеныш белой коровы. Становится взрослой особью через несколько дней после рождения.
Items/GoatBaby	Goat kid	Козле	Chevreau	Козленок
Items/DesGoatBaby	A baby form of a goat. Will turn adult several days after being born. Watch out! Kids run around more than adult goats.	Малко козле. Ще порасне след няколко дни. Внимавай! Малките козлета тичат повече от възрастните.	Un bébé de chèvre. Devient adulte quelques jours après la naissance. Surveillez-les! Les chevreaux cabriolent beaucoup plus que les chèvres adultes.	Детеныш козы. Становится взрослым через несколько дней после рождения. Осторожно! Малыши намного шустрее взрослых коз.
Items/GoatBabyBrown	Brown goat kid	Кафяво козле	Chevreau brun	Бурый козленок
Items/DesGoatBabyBrown	A baby form of a brown goat. Will turn adult several days after being born. Watch out! Kids run around more than adult goats.	Малко козле. Ще стане възрастно след няколко дни. Внимавай! Малките тичат повече от възрастните козли.	Un bébé de chèvre brune. Devient adulte quelques jours après la naissance. Surveillez-les! Les chevreaux cabriolent beaucoup plus que les chèvres adultes.	Детеныш бурой козы. Становится взрослым через несколько дней после рождения. Осторожно! Малыши намного шустрее взрослых коз.
Items/GoatBabyWhite	White goat kid	Бяло козле	Chevreau blanc	Белый козленок
Items/DesGoatBabyWhite	A baby form of a white goat. Will turn adult several days after being born. Watch out! Kids run around more than adult goats.	Бебешка форма на бяла коза. Ще стане възрастен няколко дни след раждането. Внимавай! Малките тичат повече от възрастните кози.	Un bébé de chèvre blanche. Devient adulte quelques jours après la naissance. Surveillez-les! Les chevreaux cabriolent beaucoup plus que les chèvres adultes.	Детеныш белой козы. Становится взрослым через несколько дней после рождения. Осторожно! Малыши намного шустрее взрослых коз.
Items/Globe	Globe	Сфера	globe	Глобус
Items/DesGlobe	An accurate model of our planet Earth. Shows you how much there is to see beyond Murricaville and our beloved country (bless the President).	Точен модел на нашата планета Земя. Показва ти колко много има да се види отвъд Мъррикавил и нашата любима страна (да благословим президента).	Un modèle précis de notre planète Terre. Vous montre tout ce qu'il y a à voir au-delà de Murricaville et de notre pays bien-aimé (béni soit le président).	Точная модель Земли. Показывает, как много интересного можно увидеть за пределами Мерикосвиля и нашей любимой страны (боже, храни президента).
Items/EarthDayFlatEarth	Square Earth poster	Плакат за Земята	Affiche Terre carrée	Плакат «Квадратная Земля»
Items/DesEarthDayFlatEarth	Flat-earthers intend to show how the globularist propaganda fabricates data to ridicule the truth about the Flat Earth. This is, of course, a preposterous belief: the Earth is actually a cube. Embrace the truth and don't lose your edge!	Плоскоземците искат да покажат как глобулистката пропаганда измисля данни, за да се подиграе на истината за Плоската Земя. Това, разбира се, е абсурдна вяра: Земята всъщност е куб. Приеми истината и не губи своя ръб!	Les partisans de la Terre plate ont l'intention de montrer comment la propagande globulariste fabrique des données pour ridiculiser la vérité sur la Terre plate. C'est, bien sûr, une croyance absurde : la Terre est en fait un cube. Embrassez la vérité et ne perdez pas votre avantage !	Сторонники плоской Земли пытаются показать, как пропаганда круглоземельщиков фальсифицирует данные, чтобы высмеять правду о плоской Земле. Разумеется, это все нелепо: Земля на самом деле представляет собой куб. Примите правду и поставьте ее во главу угла!
Items/EarthDayHearth	Earth Day – heart poster	Ден на Земята – плакат за сърцето	Jour de la Terre – affiche cœur	Плакат ко Дню Земли «Сердце»
Items/DesEarthDayHearth	Show your love for the environment with this beautiful design. Printed on sustainable, recycled paper.	Покажи любовта си към околната среда с този красив дизайн. Отпечатан на устойчива, рециклирана хартия.	Montrez votre amour pour l'environnement avec ce beau design. Imprimé sur du papier durable et recyclé.	Покажите свою любовь к окружающей среде с помощью этого красивого предмета. Напечатан на экологичной бумаге из переработанного сырья.
Items/EarthDayLeaf	Earth Day – leaf poster	Ден на Земята – плакат с листо	Jour de la Terre – affiche feuille	Плакат ко Дню Земли «Лист»
Items/DesEarthDayLeaf	Go green with this minimalistic design celebrating Earth Day. Take a breath and feel thankful to the plants.	Отиди зелено с този минималистичен дизайн, празнуващ Деня на Земята. Вдишай дълбоко и се почувствай благодарен на растенията.	Passez au vert avec ce design minimaliste célébrant le Jour de la Terre. Respirez et soyez reconnaissant envers les plantes.	Покажите свою любовь к природе с помощью этого минималистичного дизайна, посвященного Дню Земли. Сделайте вдох и поблагодарите растения.
Items/EarthDayTurtle	Earth Day – turtle poster	Ден на Земята – плакат с костенурка	Jour de la Terre – affiche tortue	Плакат ко Дню Земли «Черепаха»
Items/DesEarthDayTurtle	For this year's Earth Day, contemplate how our planet is like a giant turtle floating through space, carrying us all on its back... Wait, it's supposed to be a metaphor? Right?	За тазгодишния Ден на Земята, помисли как нашата планета е като гигантска костенурка, плаваща в космоса, носеща ни всички на гърба си... Чакай, това е метафора, нали?	Pour le Jour de la Terre de cette année, contemplez comment notre planète est comme une tortue géante flottant dans l'espace, nous portant tous sur son dos... Attendez, c'est censé être une métaphore ? à droite?	В этом году в День Земли задумайтесь о том, что наша планета похожа на гигантскую черепаху, плывущую через космос и несущую всех нас на своей спине... Подождите, это же метафора? Да?
Items/SuitJacketBlack	Suit Jacket - Black	Черно яке - Костюм	Veste de costume noire	Черный костюмный пиджак
Items/DesSuitJacketBlack	A timeless classic of men's fashion. Will give you a touch of professionalism and formality.	Вечен класически мъжки моден артикул. Ще ти придаде професионализъм и формалност.	Un classique intemporel de la mode masculine. Vous conférera une touche de professionnalisme et d'élégance.	Нестареющая классика мужской моды. Придаст вам профессионализм и официальность.
Items/SuitJacketBrown	Suit Jacket - Brown	Бунтър - Кафяв	Veste de costume marron	Коричневый костюмный пиджак
Items/DesSuitJacketBrown	An idealistic literature teacher or a disgruntled detective? Perhaps simply a fashion-conscious prepper.	Идеалистичен учител по литература или недоволен детектив? Може би просто моден препър.	Professeur de littérature idéaliste ou détective bourru? Peut-être juste un prepper à la pointe de la mode.	Мечтательный учитель литературы или раздраженный детектив? А может быть, вы просто следите за модой.
Items/SuitJacketYellow	Suit Jacket - Yellow	Жълт костюм — яке	Veste de costume jaune	Желтый костюмный пиджак
Items/DesSuitJacketYellow	A yellow suit jacket - because elegant doesn't have to mean dull.	Жълто яке - защото елегантността не трябва да означава скучно.	Veste de costume jaune - parce qu’élégance ne rime pas toujours avec ennui.	Желтый пиджак – потому что элегантный не означает скучный.
Items/SuitPantsBlack	Suit Pants - Black	Панталони - Черни	Pantalon de costume noir	Черные костюмные брюки
Items/DesSuitPantsBlack	Pants to go with a black suit jacket. But the Agency won't arrest you for mixing and matching.	Панталони за черен костюм. Но Агенцията няма да те арестува за смесване и съчетаване.	Le pantalon qui va avec la veste de costume noire. Mais l'Agence ne vous arrêtera pas si vous mélangez les couleurs.	Брюки, подходящие к черному пиджаку. Но Агентство не арестует вас, если надеть их с чем-то еще.
Items/SuitPantsBrown	Suit Pants - Brown	Панталони - Кафяви	Pantalon de costume marron	Коричневые костюмные брюки
Items/DesSuitPantsBrown	Pants to go with a brown suit jacket. But the Agency won't arrest you for mixing and matching.	Панталони, които да отиват с кафяво сако. Но Агенцията няма да те арестува за смесване и съчетаване.	Le pantalon qui va avec la veste de costume marron. Mais l'Agence ne vous arrêtera pas si vous mélangez les couleurs.	Брюки, подходящие к коричневому пиджаку. Но Агентство не арестует вас, если надеть их с чем-то еще.
Items/SuitPantsYellow	Suit Pants - Yellow	Панталони - Жълти	Pantalon de costume jaune	Желтые костюмные брюки
Items/DesSuitPantsYellow	Pants to go with a yellow suit jacket. But the Agency won't arrest you for mixing and matching.	Панталони, които вървят с жълто сако. Но Агенцията няма да те арестува за смесване и съчетаване.	Le pantalon qui va avec la veste de costume jaune. Mais l'Agence ne vous arrêtera pas si vous mélangez les couleurs.	Брюки, подходящие к желтому пиджаку. Но Агентство не арестует вас, если надеть их с чем-то еще.
Items/ElegantBootsBlack	Dress Shoes	Елегантни обувки	Chaussures de costume	Нарядные туфли
Items/DesElegantBootsBlack	Dress shoes for a suit. A surefire style choice.	Елегантни черни обувки за костюм. Сигурен стил.	Chaussures qui vont avec le costume. Un choix sûr à cent pour cent.	Нарядные туфли к костюму. Беспроигрышный стильный вариант.
Items/TShirtSleepless	Sleepless T-shirt	Безсънна тениска	T-shirt Les Éveillés	Футболка «Недремлющий»
Items/DesTShirtSleepless	Your secret organization is too secret for your liking? Deconspire it with style!	Твоята тайна организация е твърде тайна за твоя вкус? Разкрий я със стил!	Votre organisation secrète est trop secrète pour vous? Soulevez le secret avec classe!	Ваша тайная организация слишком секретна для вас? Слегка рассекретьте ее с помощью стиля!
Items/TShirtUFO	UFO T-shirt	Тениска с извънземно	T-Shirt OVNI	Футболка «НЛО»
Items/DesTShirtUFO	Wanna be your victim, ready for abduction.	Искаш да си моя жертва, готов за отвличане.	Moi petit homme extraterrestre STOP.	Похитьте уже меня!
Items/TShirtBobPlant	Bob the Plant T-shirt	Тениска на Боба Растението	T-Shirt Bob la Plante	Футболка «Кустик Боб»
Items/DesTShirtBobPlant	Celebrating Bob, the coolest plant in Murricaville.	Празнуваме Боб, най-якото растение в Мъррикавил.	En hommage à Bob, la plante la plus cool de Murricaville.	В честь Боба, самого крутого растения в Мерикосвиле.
Items/TShirtPreppared	Prepared T-shirt	Подготвена тениска	Le T-Shirt du Prepper	Футболка «Я выжил»
Items/DesTShirtPreppared	Sometimes you just see a piece of clothing that looks like designed specifically to you.	Понякога просто виждаш дреха, която изглежда сякаш е направена специално за теб.	Parfois, on trouve un vêtement qui a l'air conçu spécialement pour nous.	Иногда вам попадается одежда, которая выглядит так, будто создана специально для вас.
Items/TShirtNASARocket	FARSA T-shirt	ФАРСА тениска	T-Shirt AFARE	Футболка FARSA
Items/DesTShirtNASARocket	The Federal Aeronautics, Robotics & Space Administration doesn't have great achievements yet, but let's keep dreaming big.	Федералната администрация по аеронавтика, роботика и космос все още няма големи постижения, но нека продължим да мечтаем на едро.	L'Administration Fédérale de l’Aéronautique, de la Robotique et de l'Espace n'a pas encore de grandes réalisations à son actif, mais il faut rêver en grand.	У Федерального управления по аэронавтике, робототехнике и космосу пока нет других достижений, но давайте мечтать о большем.
Items/PilotJacketBrown	Pilot Jacket - Brown	Броня - Кафява	Veste de pilote marron	Коричневая куртка пилота
Items/DesPilotJacketBrown	A stylish pilot jacket. Takes the breath away from your admirers. 	Елегантна пилотска яке. Оставя без дъх твоите почитатели.	Une veste de pilote au style unique. À couper le souffle de vos admirateurs.	Стильная куртка пилота. От нее прямо дух захватывает у поклонников.
Items/PilotJacketBlack	Pilot Jacket - Black	Пилотско яке - черно	Veste de pilote noire	Черная куртка пилота
Items/DesPilotJacketBlack	A stylish pilot jacket. Takes the breath away from your admirers. 	Елегантна пилотска яке. Оставя без дъх твоите почитатели.	Une veste de pilote au style unique. À couper le souffle de vos admirateurs.	Стильная куртка пилота. От нее прямо дух захватывает у поклонников.
Items/RegularJacketBlack	Regular Jacket - Black	Черна редовна яке - Black	Veste ordinaire noire	Обычная черная куртка
Items/DesRegularJacketBlack	Casual yet stylish. A safe fashion choice.	Небрежен, но стилен. Безопасен моден избор.	Le style au quotidien. Une valeur sûre.	Приземленно и в то же время стильно. Безопасный выбор в плане моды.
Items/HikingBootsBrown	Hiking Boots - Brown	Туристически обувки - кафяви	Chaussures de randonnée marron	Коричневые походные ботинки
Items/DesHikingBootsBrown	Sturdy boots for all the diverse climates of Murricaville County.	Здрави ботуши за всички разнообразни климати на окръг Мюрикавил.	Des chaussures robustes pour affronter tous les climats de la région de Murricaville.	Прочные ботинки для самых разных климатических условий округа Мерикосвиль.
Items/HikingBootsBlack	Hiking Boots - Black	Черни туристически обувки	Chaussures de randonnée noires	Черные походные ботинки
Items/DesHikingBootsBlack	Sturdy boots for all the diverse climates of Murricaville County.	Здрави ботуши за всички разнообразни климати на окръг Мюрикавил.	Des chaussures robustes pour affronter tous les climats de la région de Murricaville.	Прочные ботинки для самых разных климатических условий округа Мерикосвиль.
Items/SneakersWhite	Sneakers - White	Кецове - Бели	Baskets blancs	Белые кроссовки
Items/DesSneakersWhite	Comfortable and youthful.	Удобни и младежки.	Confortables et jeunes.	Удобные и молодежные.
Items/SneakersBlack	Sneakers - Black	Обувки - Черни	Baskets noirs	Черные кроссовки
Items/DesSneakersBlack	Comfortable and youthful.	Удобни и младежки.	Confortables et jeunes.	Удобные и молодежные.
Items/SweatpantsBlack	Sweatpants - Black	Черни спортни панталони	Pantalon de survêtement noir	Черные спортивные штаны
Items/DesSweatpantsBlack	For when you need comfort, but also don't shy away from the striking, modern look.	За когато ти трябва комфорт, но и не се притесняваш от впечатляващия, модерен вид.	Lorsque vous avez besoin de confort sans pour autant vouloir renoncer à un look tape à l’œil et moderne.	Для тех случаев, когда вам нужен комфорт, но хочется быть ярким и современным.
Items/SweatpantsBlue	Sweatpants - Blue	Блузи - Сини	Pantalon de survêtement bleu	Синие спортивные штаны
Items/DesSweatpantsBlue	For when you need comfort, but also don't shy away from the striking, modern look.	За когато ти трябва комфорт, но и не се притесняваш от впечатляващия, модерен вид.	Lorsque vous avez besoin de confort sans pour autant vouloir renoncer à un look tape à l’œil et moderne.	Для тех случаев, когда вам нужен комфорт, но хочется быть ярким и современным.
Items/SweatpantsRed	Sweatpants - Red	Червени спортни панталони	Pantalon de survêtement rouge	Красные спортивные штаны
Items/DesSweatpantsRed	For when you need comfort, but also don't shy away from the striking, modern look.	За когато ти трябва комфорт, но и не се притесняваш от впечатляващия, модерен вид.	Lorsque vous recherchez le confort sans pour autant vouloir renoncer à un look tape à l’œil et moderne.	Для тех случаев, когда вам нужен комфорт, но хочется быть ярким и современным.
Items/CargoPantsBlack	Cargo Pants - Black	Черни панталони - Cargo Pants	Treillis noir	Черные брюки карго
Items/DesCargoPantsBlack	Pants for practical, down-to-earth-preppers.	Панталони за практични, земни препъри.	Pantalon pour les preppers pratiques et terre-à-terre.	Брюки для практичных, приземленных выживальщиков.
Items/CargoPantsRottenGreen	Cargo Pants - Olive Green	Панталони - Оливково зелени	Treillis vert olive	Оливково-зеленые брюки карго
Items/DesCargoPantsRottenGreen	Pants for practical, down-to-earth-preppers.	Панталони за практични, земни препъри.	Pantalon pour les preppers pratiques et terre-à-terre.	Брюки для практичных, приземленных выживальщиков.
Items/CargoPantsMoroKhaki	Cargo Pants - Camo	Камуфлажни панталони	Treillis camouflage	Камуфляжные брюки карго
Items/DesCargoPantsMoroKhaki	Pants for practical, down-to-earth-preppers.	Панталони за практични, земни препъри.	Pantalon pour les preppers pratiques et terre-à-terre.	Брюки для практичных, приземленных выживальщиков.
Items/RegularBlackJeans	Regular Black Jeans	Редовни черни дънки	Jean noir régulier	Обычные черные джинсы
Items/DesRegularBlackJeans	A slight modification of the tried and tested Mr. Prepper's attire.	Малка промяна на изпитания и тестван стил на г-н Препър.	Une légère modification de la tenue de Mr. Prepper qui a fait ses preuves.	Небольшая модификация проверенного временем наряда мистера Выживальщика.
Items/CapBob	Blue Baseball Cap	Синя бейзболна шапка	Casquette de baseball bleue	Синяя бейсболка
Items/DesCapBob	Inspired by the rebellious look of a certain mine keeper.	Вдъхновен от бунтарския вид на определен пазач на мина.	Inspirée du look rebelle d'un certain gardien de mine.	Дизайнер вдохновлялся бунтарским обликом некоего шахтера.
Items/CapBlackPrepper	Black Baseball Cap	Черна бейзболна шапка	Casquette de baseball noire	Черная бейсболка
Items/DesCapBlackPrepper	For people doing mindblowing things.	За хора, които правят невероятни неща.	Pour les gens qui font des choses époustouflantes.	Для людей, делающих потрясающие вещи.
Items/CapAsh	Red Baseball Cap	Червена бейзболна шапка	Casquette de baseball rouge	Красная бейсболка
Items/DesCapAsh	Tracking and hunting animals just somehow feels better in this cap.	С този капак проследяването и ловуването на животни просто се усеща по-добре.	Avec cette casquette, poursuivre et chasser des animaux parait tellement plus facile.	В этой кепке как-то приятнее выслеживать животных и охотиться на них.
Items/CowboyHatJoe	Brown Cowboy Hat	Кафява шапка на каубой	Chapeau de cow-boy marron	Коричневая ковбойская шляпа
Items/DesCowboyHatJoe	Sometimes you just gotta channel your local conspiracy theorist.	Понякога просто трябва да се впуснеш в местната конспиративна теория.	Parfois, vous avez juste envie de vous mettre dans la peau du théoricien du complot local.	Иногда вам просто необходимо выпустить на волю своего внутреннего конспиролога.
Items/CowboyHatWhite	White Cowboy Hat	Бяла каубойска шапка	Chapeau de cow-boy blanc	Белая ковбойская шляпа
Items/DesCowboyHatWhite	Don't be shy, the world is probably ending anyway.	Не бъди срамежлив, светът така или иначе сигурно свършва.	Un peu d'audace, la fin du monde est proche, de toute manière.	Не стесняйтесь, конец света все равно наступит.
Items/BlackGlasses	Black Shades	Черни очила	Lunettes de soleil noires	Черные очки
Items/DesBlackGlasses	Mysterious.	Мистериозен.	Mystérieuses.	Загадка.
Items/Glasses	Grey Shades	Сиви сенки	Lunettes de soleil grises	Серые очки
Items/DesGlasses	When you want to be mysterious, but you also want to see something.	Когато искаш да си мистериозен, но също така искаш да видиш нещо.	Si vous voulez avoir l'air mystérieux tout en voyant quand même un peu quelque chose.	Когда хочется быть загадочным, но при этом видеть, что происходит вокруг.
Items/FishTemptationTechniques	Fish Luring Companion Guide	Ръководство за примамване на риба	Guide pratique de l'appâtage	Руководство по приманиванию рыбы
Items/DesFishTemptationTechniques	Get to know the intricacies of fish luring! With the help of knowledge from this book, the fish will come swarming to you.\n	Научи тънкостите на примамването на риба! С помощта на знанията от тази книга, рибите ще се стичат към теб.\n	Apprenez les techniques d'appâtage des poissons! Grâce aux connaissances que renferme ce livre, les poissons viendront vers vous par bancs entiers.	Познакомьтесь с тонкостями использования приманки! Воспользуйтесь знаниями из этой книги, и рыба будет приплывать к вам косяками.
Items/GroundbaitVirtuoso	Baits of Excellent Quality 	Примамки с отлично качество	Appâts d'excellente qualité	Превосходная приманка
Items/DesGroundbaitVirtuoso	Learn the expert tips to catch the rarest of fish.	Научи експертните съвети за улов на най-редките риби.	Découvrez les conseils des experts pour attraper les poisson les plus rares.	Узнайте советы экспертов, чтобы поймать самую редкую рыбу.
Items/MaintenanceOfTheFishermansEquipment	Fisherperson's Guide to Equipment Maintenance	Ръководство за поддръжка на екипировката на рибаря	Guide du Pêcheur pour l'Entretien de l'Équipement	Руководство рыбака по обслуживанию оборудования
Items/DesMaintenanceOfTheFishermansEquipment	Untangle all the lines, hooks, tackles and rods with this handy guide! It will surely help to keep your equipment in shape.	Разплети всички въжета, куки, примамки и пръчки с тази полезна инструкция! Тя със сигурност ще ти помогне да поддържаш екипировката си в добро състояние.	Grâce à ce guide pratique, démêlez toutes vos lignes, hameçons, flotteurs et cannes à pêche! Ça vous aidera sûrement à garder votre équipement en bon état.	Распутайте все лески, крючки, снасти и удочки с помощью этого удобного руководства! Оно обязательно поможет поддерживать ваше снаряжение в порядке.
Items/CarAutopilotChip1	Car Autopilot AI Chip	Чип за автопилот на кола	Puce AI de pilote automatique de voiture	Чип ИИ автопилота автомобиля
Items/DesCarAutopilotChip1	Sit back and enjoy! Allows to upgrade the car with an autopilot function. Consumes a bit more fuel.	Отпусни се и се наслаждавай! Позволява да надстроиш колата с автопилот. Изразходва малко повече гориво.	Asseyez-vous et profitez-en! Permet de mettre à niveau la voiture avec une fonction de pilote automatique. Consomme un peu plus de carburant.	Усаживайтесь поудобнее и наслаждайтесь! Теперь у вашего автомобиля есть функция автопилота, но он потребляет немного больше топлива.
Items/CarAutopilotChip2	Solar Panels for Cars with AI Chip	Соларни панели за коли с AI чип	Panneaux solaires pour voitures avec puce AI	Солнечные панели для автомобиля с чипом ИИ
Items/DesCarAutopilotChip2	Solar power! Adds solar panels to your car. With this upgrade, your autopilot will no longer use extra fuel.	Слънчева енергия! Добавя слънчеви панели към колата ти. С тази надстройка автопилотът ти вече няма да използва допълнително гориво.	Énergie solaire! Ajoute des panneaux solaires à votre voiture. Avec cette mise à niveau, votre pilote automatique n'utilisera plus de carburant supplémentaire.	Солнечная энергия! Обеспечивает автомобиль солнечными батареями. Теперь автопилот не расходует топливо.
Items/Reoiler	Oil Refiller	Презареждач на масло	Remplissage d'huile	Автозаправщик
Items/DesReoiler	Automatically refills oil in the refinery.	Автоматично зарежда масло в рафинерията.	Remplit automatiquement l'huile dans la raffinerie.	Автоматически пополняет запасы нефти в аппарате для очистки.
Items/WolfFootprints	Animal pawprints	Следи от лапи на животни	Empreintes d'animaux	Следы животных
Items/Hole	Hole in the barn	Дупка в хамбара	Trou dans l'étable	Дыра в сарае
Items/HumanFootprints	Human footprints	Човешки следи	Empreintes humaines	Человеческие следы
Items/MazeCube	A hay cube you can shoot at, color-coded. Is it used for a game of sorts?	Куб от сено, по който можеш да стреляш, с цветни кодове. Използва ли се за някаква игра?	Une botte de foin avec des marques de couleur dans laquelle vous pouvez tirer, certainement utilisée pour un jeu.	Брикет сена с цветовой маркировкой, в который можно стрелять. Он здесь для какой-то игры?
Items/FishingBridge	Fishing pier	Пристан за риболов	Ponton de pêche	Рыболовный пирс
Items/Castle	Castle decoration	Декорация на бункера	Château	Декоративный замок
Items/DesCastle	Aquarium decoration item in the shape of castle. For when you want to achieve militant yet romantic style of your fish tank.	Декорация за аквариум във формата на замък. За когато искаш да постигнеш военен, но романтичен стил на твоя аквариум.	Objet de décoration pour aquarium en forme de château. Si vous voulez un style de décoration guerrier et romantique pour votre aquarium.	Украшение в виде замка для аквариума. Если хотите сделать аквариум более воинственным, но в то же время романтичным.
Items/Rocket	Rocket decoration	Украса за ракета	Fusée	Декоративная ракета
Items/DesRocket	Rocket decoration for your aquarium. Perhaps it will inspire one of your fish to dream of a world without rules and regulations.	Украса за аквариума ти. Може би ще вдъхнови някоя от рибите ти да мечтае за свят без правила и регулации.	Objet de décoration en forme de fusée pour votre aquarium. Peut-être que ça inspirera un de vos poissons à rêver d'un monde sans lois ni règles.	Украшение в виде ракеты для аквариума. Возможно, оно вдохновит одну из ваших рыбок на мысли о мире без правил и границ.
Items/SmallRocks	Small rocks	Малък камък	Petits rochers	Маленькие камни
Items/DesSmallRocks	Small decorative rocks for your aquarium. Fish love that stuff.	Малки декоративни камъчета за аквариума ти. Рибките обожават такива неща.	Petites pierres décoratives pour votre aquarium. Les poissons adorent ça.	Небольшие декоративные камни для аквариума. Рыбы любят такие штуки.
