# key	english	bulgarian	french	russian
Dialogues/prepScarecrow2	<voice type=laugh>\nOh look, it’s him again. Or her? Them? I don’t know how gender works in scarecrows.	<voice type=laugh>\nО, виж го, той е тук отново. Или тя? Те? Не знам как работи пола при стражи.	<voice type=laugh>\nOh, c'est encore lui. Ou elle? Ou eux? Je ne sais pas comment fonctionne le genre chez les épouvantails.	<voice type=laugh>\nО, гляньте-ка, опять он. Или она? Оно? Гендерные различия пугал – не мой конек.
Dialogues/lemonRandomTalk14	<voice type=laugh>\nI've found such a good place to hide for the hide and seek game! But who will play with me?	<voice type=laugh>\nНамерих толкова добро място за играта „скриване“! Но кой ще играе с мен?	<voice type=laugh>\nJ'ai trouvé un super endroit pour me cacher au jeu de cache-cache ! \nMais qui va jouer avec moi ?\n	<voice type=laugh>\nЯ нашла такое хорошее место для игры в прятки! \nНо кто будет играть со мной?\n
Dialogues/lemonRandomTalk15	<voice type=laugh>\nWhat if we just all started blowing bubbles, and covered the whole street with bubbles? The whole town? 	<voice type=laugh>\nАко просто започнем да пускаме мехурчета и да покрием цялата улица с тях? Целия град?	<voice type=laugh>\nEt si nous commencions tous à souffler des bulles, \net que nous recouvrions toute la rue de bulles ? \nToute la ville ? \n	<voice type=laugh>\nА что если мы все начнем пускать мыльные пузыри, \nи покроем всю улицу пузырями? \nВесь город? \n
Dialogues/lemonFirstInteraction1	Hello, dear customer! I have delicious lemonade! Do you want a free sample?	Здравей, скъпи клиент! Имам вкусен лимонов сок! Искаш ли безплатна проба?	Bonjour, cher client ! \nJ'ai une délicieuse limonade ! \nVoulez-vous un échantillon gratuit ?\n	Здравствуйте, дорогой клиент! \nУ меня вкусный лимонад! \nХотите бесплатный образец?\n
Dialogues/prepFirstInteraction2	Oh, an interesting business strategy! Sure, I'll have a sip.	О, интересна бизнес стратегия! Разбира се, ще си взема глътка.	Oh, une stratégie commerciale intéressante ! \nBien sûr, je vais prendre une gorgée.\n	О, интересная бизнес-стратегия! \nКонечно, я попробую немного.\n
Dialogues/prepFirstInteraction3	It's very tasty!	Много е вкусно!	C'est très bon !\n	Очень вкусно!\n
Dialogues/lemonFirstInteraction4	Cool! So you'll become a regular now! What's your name, dear customer?	Страхотно! Значи ще станеш редовен! Как се казваш, скъпи клиент?	Super ! Alors vous allez devenir un client régulier ! \nComment vous appelez-vous, cher client ?\n	Круто! Значит, ты теперь постоянный клиент! \nКак тебя зовут, дорогой клиент?\n
Dialogues/prepFirstInteraction5	I'm Mr. Prepper. Nice to meet you. Are you from around here?	Аз съм г-н Препър. Приятно ми е да се запознаем. Ти оттук ли си?	Je suis Mr. Prepper. Enchanté de te rencontrer. Es-tu d’ici ?\n	Я Mr. Prepper. Рад встрече. Ты местный?\n
Dialogues/lemonFirstInteraction6	Yes! Proudly representing the Girl Scouts of Murricaville! \nEven if our group is not too active these days. But I hope we'll get back at our feet again!\nMaybe with the funds from the lemonade sale! After I support my struggling dad though.	Да! Гордо представяме Girl Scouts of Мърикавил! \nДори и групата ни да не е много активна тези дни. Но се надявам, че пак ще се вдигнем на крака! \nМоже би с парите от продажбата на лимонада! След като подкрепя борбения си татко обаче.	Oui ! Je représente fièrement les Girl Scouts de Murricaville ! \nMême si notre groupe n'est pas très actif ces derniers temps. \nMais j'espère que nous nous remettrons sur pied ! \nPeut-être grâce aux fonds de la vente de limonade ! \nAprès avoir aidé mon père en difficulté, bien sûr.\n	Да! Гордо представляю скауток Murricaville!\nХотя наша группа в последнее время не слишком активна. Но я надеюсь, что мы снова встанем на ноги!\nВозможно, благодаря средствам от продажи лимонада! Но сначала я помогу своему struggling отцу.\n
Dialogues/prepFirstInteraction7	So I wish you luck with the sale! I might stop by sometimes.	Успех с продажбата! Може да мина някой път.	Alors je te souhaite bonne chance pour la vente ! \nJe passerai peut-être de temps en temps.\n	Так что желаю удачи с продажей! \nВозможно, я буду заглядывать время от времени.\n
Dialogues/lemonUnlockExpedition1	<voice type=greeting>\nHello, Mr. Prepper. I have noticed you roam around a lot.\n<voice type=question>\nBusy life? Or... you're looking for something?	<voice type=greeting>\nЗдравей, господин Препър. Забелязах, че обикаляш доста.\n<voice type=question>\nЗает живот? Или... търсиш нещо?	<voice type=greeting>\nBonjour, Mr. Prepper. J’ai remarqué que vous vous promenez beaucoup.\n<voice type=question>\nVie bien remplie ? Ou... cherchez-vous quelque chose ?\n	<voice type=greeting>\nЗдравствуйте, Mr. Prepper. Я заметила, что вы часто ходите по окрестностям.\n<voice type=question>\nЗанятая жизнь? Или... вы что-то ищете?\n
Dialogues/prepUnlockExpedition2	<voice type=order>\nHm... yes, I need to be on the move a lot because of my... because of my work.	<voice type=order>\nХм... да, трябва да се движа много заради моята... заради моята работа.	<voice type=order>\nHm... oui, je dois beaucoup me déplacer à cause de mon... \nà cause de mon travail.\n	<voice type=order>\nХм... да, мне нужно много передвигаться из-за моей... \nиз-за моей работы.\n
Dialogues/lemonUnlockExpedition3	Well, my lemonade business is going great, but I need to expand.\n<voice type=order>\nMaybe I can help? I know a lot about the area here!	Е, бизнесът ми с лимонад върви отлично, но трябва да се разширя.\n<voice type=order>\nМоже би мога да помогна? Много знам за района тук!	Eh bien, mon entreprise de limonade se porte très bien, mais je dois m'étendre.\n<voice type=order>\nPeut-être que je peux aider ? Je connais bien le coin !\n	Ну, мой бизнес с лимонадом идет отлично, но мне нужно расширяться.\n<voice type=order>\nМожет, я могу помочь? Я много знаю об этом районе!\n
Dialogues/prepUnlockExpedition4	<voice type=negation>\nLook, kid, I think my line of work is too dangerous for you.	<voice type=negation>\nСлушай, момче, мисля че моята работа е твърде опасна за теб.	<voice type=negation>\nÉcoute, gamin, je pense que mon travail est trop dangereux pour toi.\n	<voice type=negation>\nСлушай, малыш, я думаю, моя работа для тебя слишком опасна.\n
Dialogues/lemonUnlockExpedition5	<voice type=question>\nBut please?	<voice type=question>\nНо моля те?	<voice type=question>\nMais s'il vous plaît ?\n	<voice type=question>\nНо, пожалуйста?\n
Dialogues/prepUnlockExpedition6	<voice type=negation>\nNo.	<voice type=negation>\nНе.	<voice type=negation>\nNon.\n	<voice type=negation>\nНет.\n
Dialogues/lemonUnlockExpedition7	<voice type=order>\nI'm a scout! I have earned Danger Detection and Predator Avoidance badges!	<voice type=order>\nАз съм разузнавач! Заслужих значките за откриване на опасност и избягване на хищници!	<voice type=order>\nJe suis une éclaireuse ! J'ai obtenu les badges Détection du Danger et Évitement des Prédateurs !\n	<voice type=order>\nЯ скаут! У меня есть значки «Обнаружение опасности» и «Избегание хищников»!\n
Dialogues/prepUnlockExpedition8	<voice type=question>\nWhy would you have a Predator Avoidance badge in your... Ah, nevermind.	<voice type=question>\nЗащо би имал значка за избягване на хищници в... А, нищо.	<voice type=question>\nPourquoi auriez-vous un badge d'Évitement des Prédateurs dans votre... \nAh, peu importe.\n	<voice type=question>\nЗачем у тебя значок «Избегание хищников» в твоем... \nАх, неважно.\n
Dialogues/lemonUnlockExpedition9	<voice type=disappointment>\nGive me a challenge, please! It's boring here in the lemonade stand.	<voice type=disappointment>\nДа ми дадеш предизвикателство! Тук в лемонадния киоск е скучно.	<voice type=disappointment>\nDonne-moi un défi, s'il te plaît ! \nC'est ennuyeux ici au stand de limonade.\n	<voice type=disappointment>\nДай мне задание, пожалуйста! \nЗдесь скучно на лимонадном прилавке.\n
Dialogues/prepUnlockExpedition10	<voice type=order>\nEhrm, fine. Go to the forest and bring me some blueberries. Just don't go too deep!\nIn return, I'll... buy a big, big cup of lemonade from you!	<voice type=order>\nЕх, добре. Отиди в гората и ми донеси малко боровинки. Само не се отдалечавай много!\nВ замяна ще... купя една голяма, голяма чаша лимонада от теб!	<voice type=order>\nEuh, d'accord. \nVa dans la forêt et apporte-moi des myrtilles. \nNe va pas trop loin !\nEn retour, je vais... t'acheter une grande, grande tasse de limonade !\n	<voice type=order>\nЭмм, хорошо. \nИди в лес и принеси мне немного черники. \nТолько не заходи слишком глубоко!\nВзамен я… куплю у тебя огромный, огромный стакан лимонада!\n
Dialogues/lemonUnlockExpedition11	<voice type=acceptance>\nYes, sir! Blueberries coming right up!\n<voice type=question>\nWhere exactly should I go then?	<voice type=acceptance>\nДа, шеф! Сини борови идват веднага!\n<voice type=question>\nКъде точно трябва да отида тогава?	<voice type=acceptance>\nOui, monsieur ! Les myrtilles arrivent !\n<voice type=question>\nOù exactement dois-je aller alors ?\n	<voice type=acceptance>\nДа, сэр! Черника идет!\n<voice type=question>\nТак куда же мне идти?\n
Dialogues/lemonUnlockPowerPlant1	<voice type=greeting>\nPsst... Hey, Mr. Prepper! I have a special new offer! For my bestest VIP customers only!	<voice type=greeting>\nПсст... Здравей, г-н Препър! Имам специално ново предложение! Само за моите най-добри VIP клиенти!	<voice type=greeting>\nPsst... Salut, Mr. Prepper ! J’ai une nouvelle offre spéciale ! Réservée uniquement à mes meilleurs clients VIP !\n	<voice type=greeting>\nПсс... Привет, Mr. Prepper! У меня есть специальное новое предложение! Только для моих лучших VIP-клиентов!\n
Dialogues/prepUnlockPowerPlant2	<voice type=question>\nAnd that would be me...?	<voice type=question>\nИ това би бил аз...?	<voice type=question>\nEt ce serait moi... ?\n	<voice type=question>\nИ это я...?\n
Dialogues/lemonUnlockPowerPlant3	Oh, Mr. Prepper! Of course I mean you! No other customer talks to me this much!	О, господин Препър! Разбира се, че имам предвид теб! Никой друг клиент не ми говори толкова много!	Oh, Mr. Prepper ! Bien sûr que je parle de vous ! \nAucun autre client ne me parle autant !\n	О, Mr. Prepper! Конечно, я имею в виду тебя! \nНи один другой клиент не говорит со мной так много!\n
Dialogues/prepUnlockPowerPlant4	Okay, let's see where this is going.\n<voice type=question>\nDo you have a new lemonade flavor or something?	Добре, да видим къде води това.\n<voice type=question>\nИмаш ли нов вкус лимонад или нещо такова?	D'accord, voyons où cela nous mène.\n<voice type=question>\nAs-tu une nouvelle saveur de limonade ou quelque chose comme ça ?\n	Хорошо, посмотрим, к чему это приведет.\n<voice type=question>\nУ тебя есть новый вкус лимонада или что-то в этом роде?\n
Dialogues/lemonUnlockPowerPlant5	<voice type=negation>\nNo!\nSomething veeery valuable, and what scouts are trained to gather.\n<voice type=order>\nR E C O N!\n<voice type=order>\nI N F O R M A T I O N!	<voice type=negation>\nНе!\nНещо много ценно, и това, което скаутите са обучени да събират.\n<voice type=order>\nРЕКОН!\n<voice type=order>\nИНФОРМАЦИЯ!	<voice type=negation>\nNon !\nQuelque chose de trèèès précieux, et que les scouts sont formés à collecter.\n<voice type=order>\nR E C O N !\n<voice type=order>\nI N F O R M A T I O N !\n	<voice type=negation>\nНет!\nЧто-то оооочень ценное, и чему скауты обучены собирать.\n<voice type=order>\nР Е К О Н!\n<voice type=order>\nИ Н Ф О Р М А Ц И Я!\n
Dialogues/prepUnlockPowerPlant6	Right... I guess I have nothing to lose.	Добре... Предполагам, че нямам какво да губя.	Bon... \nJe suppose que je n'ai rien à perdre.\n	Ладно... \nНаверное, мне нечего терять.\n
Dialogues/lemonUnlockPowerPlant7	It will cost you only a thousand dollars!	Ще ти струва само хиляда долара!	Ça ne vous coûtera qu’un millier de dollars !\n	Это будет стоить тебе всего тысячу долларов!\n
Dialogues/prepUnlockPowerPlant7	<voice type=negation>\nWhat? No.	<voice type=negation>\nКакво? Не.	<voice type=negation>\nQuoi ? Non.\n	<voice type=negation>\nЧто? Нет.\n
Dialogues/lemonUnlockPowerPlant8	<voice type=upset>\nOh, but Mr. Prepper, it's really a bargain!\nOkay, for the bestest VIP customer, I will give you my final offer!\nFor the next ten minutes, I give the information as a bonus to a cup of lemonade.\n<voice type=laugh>\nAre you accepting the deal, Mr. Prepper? Clock is ticking! Tick-tock!	<voice type=upset>\nО, но господин Препър, това е истинска оферта!\nДобре, за най-добрия VIP клиент ще ти дам последното ми предложение!\nЗа следващите десет минути ти давам информацията като бонус към чаша лимонад.\n<voice type=laugh>\nПриемаш сделката, господин Препър? Часовникът ти тика! Тик-так!	<voice type=upset>\nOh, Mr. Prepper, c’est vraiment une affaire !\nD’accord, pour mon meilleur client VIP, je te fais ma dernière offre !\nPendant les dix prochaines minutes, je donne l’information en bonus avec un verre de limonade.\n<voice type=laugh>\nAcceptes-tu l’offre, Mr. Prepper ? L’horloge tourne ! Tic-tac !\n	<voice type=upset>\nО, Mr. Prepper, но это действительно выгодное предложение!\nХорошо, для моего лучшего VIP-клиента я дам тебе окончательное предложение!\nСледующие десять минут я даю информацию в качестве бонуса к стакану лимонада.\n<voice type=laugh>\nПринимаешь сделку, Mr. Prepper? Время идет! Тик-так!\n
Dialogues/prepUnlockPowerPlant9	<voice type=question>\nYou just really, really want to tell me something, don't you?	<voice type=question>\nИскаш да ми кажеш нещо, нали?	<voice type=question>\nTu veux vraiment, vraiment me dire quelque chose, n'est-ce pas ?\n	<voice type=question>\nТы просто очень-очень хочешь что-то мне сказать, да?\n
Dialogues/lemonUnlockPowerPlant10	...\n<voice type=surprise>\nJust listen! I found a BIG abandoned building! Concrete! Industrial! BIG chimneys! \nIt looks cool! But has a funny smell around.	...\n<voice type=surprise>\nСлушай! Намерих голяма изоставена сграда! Бетон! Индустриална! Големи камини!\nИзглежда страхотно! Но има странен мирис около нея.	...\n<voice type=surprise>\nÉcoute ! J’ai trouvé un GRAND bâtiment abandonné ! En béton ! Industriel ! DE GRANDES cheminées !\nÇa a l’air super ! Mais ça sent un peu bizarre.\n	...\n<voice type=surprise>\nПросто послушай! Я нашла БОЛЬШОЕ заброшенное здание! Бетонное! Промышленное! БОЛЬШИЕ трубы!\nВыглядит круто! Но пахнет там странно.\n
Dialogues/prepUnlockPowerPlant11	<voice type=thanks>\nThis is interesting indeed. Thank you, kid.	<voice type=thanks>\nТова е наистина интересно. Благодаря ти, момче.	<voice type=thanks>\nC'est en effet intéressant. Merci, gamin.\n	<voice type=thanks>\nЭто действительно интересно. Спасибо, малыш.\n
Dialogues/lemonBuy1	<voice type=thanks>\nThank you for supporting girl scouts, Mr. Prepper!	<voice type=thanks>\nБлагодаря, че подкрепяш девициите, г-н Препър!	<voice type=thanks>\nMerci de soutenir les scouts filles, Mr. Prepper !\n	<voice type=thanks>\nСпасибо за поддержку скаутов, Mr. Prepper!\n
Dialogues/lemonBuy2	<voice type=thanks>\nThank you, Mr. Prepper! My dad... I mean, the girl scouts will be thankful!	<voice type=thanks>\nБлагодаря ти, господин Препър! Моят татко... искам да кажа, момичетата скаути ще са благодарни!	<voice type=thanks>\nMerci, Mr. Prepper ! Mon père… enfin, les scouts filles seront reconnaissantes !\n	<voice type=thanks>\nСпасибо, Mr. Prepper! Мой папа... то есть, скауты будут благодарны!\n
Dialogues/lemonBuy3	<voice type=thanks>\nGosh, thanks a lot! The money goes for a good cause!	<voice type=thanks>\nО, благодаря много! Парите ще отидат за добра причина!	<voice type=thanks>\nOh, merci beaucoup ! L'argent va à une bonne cause !\n	<voice type=thanks>\nОго, большое спасибо! Деньги пойдут на благую цель!\n
Dialogues/lemonBuy4	<voice type=thanks>\nThank you for supporting your local scouts!	<voice type=thanks>\nБлагодаря, че подкрепяш местните си чистачи!	<voice type=thanks>\nMerci de soutenir vos scouts locaux !\n	<voice type=thanks>\nСпасибо за поддержку местных скаутов!\n
Dialogues/lemonBuy5	<voice type=thanks>\nThank you! And don't forget to come for more!	<voice type=thanks>\nБлагодаря! И не забравя да дойдеш за още!	<voice type=thanks>\nMerci ! Et n'oubliez pas de revenir pour en avoir plus !\n	<voice type=thanks>\nСпасибо! И не забудьте прийти за добавкой!\n
Dialogues/lemonFreeSmaple	Enjoy your drink, Mr. Prepper!\nIt's on the house.	Наслади се на питието си, г-н Препър! \nПодарък от нас.	Profite de ta boisson, Mr. Prepper !\nC’est pour la maison.\n	Приятного напитка, Mr. Prepper!\nЭто за мой счёт.\n
Dialogues/scientistNextQuest1	I have another request for you, Mr. Prepper.	Имам още една молба към теб, препър.	J’ai une autre demande pour toi, Mr. Prepper.\n	У меня есть к тебе ещё одна просьба, Mr. Prepper.\n
Dialogues/scientistNextQuest2	Will you do me a favor, Mr. Prepper?	Ще ми направиш ли една услуга, препър?	Me feras-tu une faveur, Mr. Prepper ?\n	Сделаешь мне одолжение, Mr. Prepper?\n
Dialogues/scientistNextQuest3	<voice type=question>\nWould you help me again, Mr. Prepper?	<voice type=question>\nЩе ми помогнеш отново, г-н Препър?	<voice type=question>\nM’aiderais-tu encore une fois, Mr. Prepper ?\n	<voice type=question>\nТы поможешь мне снова, Mr. Prepper?\n
Dialogues/scientistFetchTemplate				
Dialogues/scientistFetchItem1	Imma need $x$.	Ще ми трябват $x$ долара.	Il me faut $x$.\n	Мне нужно $x$.\n
Dialogues/scientistFetchItem2	My work demands $x$.	Моята работа изисква $x$.	Mon travail exige $x$.\n	Моя работа требует $x$.\n
Dialogues/scientistFetchItem3	Find $x$ for me.	Намери ми $x$.	Trouve $x$ pour moi.\n	Найди для меня $x$.\n
Dialogues/scientistFetchItem4	Bring me $x$, will ya?	Донеси ми $x$, става ли?	Apporte-moi $x$, d'accord ?\n	Принеси мне $x$, ладно?\n
Dialogues/scientistPromiseReward1	Bring it to me and I'll tell you some of my scientific secrets. For real!	Донеси ми го и ще ти разкрия някои от научните си тайни. Наистина!	Apporte-le-moi et je te révélerai quelques-uns de mes secrets scientifiques. Vraiment !\n	Принеси это мне, и я расскажу тебе несколько моих научных секретов. Серьезно!\n
Dialogues/scientistPromiseReward2	This will help us make progress.	Това ще ни помогне да напреднем.	Cela nous aidera à progresser.\n	Это поможет нам добиться прогресса.\n
Dialogues/scientistPromiseReward3	This will be another step towards scientific excellence.	Това ще е още една стъпка към научната превъзходност.	Ce sera une autre étape vers l'excellence scientifique.\n	Это будет ещё один шаг к научному совершенству.\n
Dialogues/scientistEndQuestThanks1	<voice type=thanks>\nThanks, man, that's exactly what I needed.	<voice type=thanks>\nБлагодаря ти, това точно беше това, което ми трябваше.	<voice type=thanks>\nMerci mec, c'est exactement ce dont j'avais besoin.\n	<voice type=thanks>\nСпасибо, приятель, это именно то, что мне было нужно.\n
Dialogues/scientistEndQuestThanks2	<voice type=thanks>\nGood job, Mr. Prepper, I will use it for the good of Murricaville.	<voice type=thanks>\nДобре работеше препър, ще го използвам за доброто на Мърицивил.	<voice type=thanks>\nBon travail, Mr. Prepper, je vais l’utiliser pour le bien de Murricaville.\n	<voice type=thanks>\nХорошая работа, Mr. Prepper, я использую это на благо Murricaville.\n
Dialogues/scientistEndQuestThanks3	<voice type=thanks>\nThank you, man! One step closer to making Murricaville prosperous.	<voice type=thanks>\nБлагодаря ти, човек! Една стъпка по-близо до просперитета на Мърикавил.	<voice type=thanks>\nMerci, mec ! Un pas de plus vers la prospérité de Murricaville.\n	<voice type=thanks>\nСпасибо, приятель! Один шаг ближе к процветанию Murricaville.\n
Dialogues/scientistEndQuestThanks4	<voice type=thanks>\nThank you for your service for scientific and engineering advancement! I'll try to keep it awesome.	<voice type=thanks>\nБлагодаря за твоята служба за научен и инженерно развитие! Ще се опитам да поддържам всичко страхотно.	<voice type=thanks>\nMerci pour votre service pour le progrès scientifique et technique ! Je vais essayer de garder ça génial.\n	<voice type=thanks>\nСпасибо за ваш вклад в научный и инженерный прогресс! Я постараюсь поддерживать это на высоте.\n
Dialogues/scientistEndQuestThanks5	<voice type=thanks>\nI am grateful for your contribution. Will do something cool with it.	<voice type=thanks>\nБлагодаря за присъствието ти. Ще направя нещо страхотно с това.	<voice type=thanks>\nJe suis reconnaissant pour ta contribution. Je vais en faire quelque chose de génial.\n	<voice type=thanks>\nЯ благодарен за твой вклад. Сделаю с этим что-то классное.\n
Dialogues/scientistEndQuestThanks6	<voice type=thanks>\nThanks for adding this small brick to the great edifice of science. You're the best.	<voice type=thanks>\nБлагодаря, че добавих този малък камък към великия храм на науката. Ти си най-добрият.	<voice type=thanks>\nMerci d'avoir ajouté cette petite brique au grand édifice de la science. Tu es le meilleur.\n	<voice type=thanks>\nСпасибо за то, что добавил этот маленький кирпич к великому зданию науки. Ты лучший.\n
Dialogues/scientistEndQuestReward1	Catch your reward.	Вземи наградата си.	Attrape ta récompense.\n	Лови свою награду.\n
Dialogues/scientistEndQuestReward2	Take a look at this blueprint. It might blow your mind.	Разгледай този чертеж. Може да ти отвори очите.	Jette un œil à ce plan. Ça pourrait te souffler l'esprit.\n	Взгляни на этот чертеж. Тебя может просто поразить.\n
Dialogues/scientistEndQuestReward3	Take a look at this, it's dope.	Виж това, готино е.	Regarde ça, c'est génial.\n	Взгляни на это, это круто.\n
Dialogues/scientistEndQuestReward4	Here, accept this small reward for your efforts. Pretty sure you'll dig it.	Ето, вземи тази малка награда за усилията си. Сигурен съм, че ще ти хареса.	Tiens, accepte cette petite récompense pour tes efforts. Je suis sûr que ça te plaira.\n	Вот, прими эту небольшую награду за свои усилия. Уверен, тебе понравится.\n
Dialogues/scientistEndQuestReward5	Take this as a sign of your participation in the steady march of progress. Keep up the good work y'all.	Вземи това като знак за участието си в постоянния напредък. Продължавай в същия дух.	Prenez ceci comme un signe de votre participation à la marche constante du progrès. Continuez votre excellent travail.\n	Прими это как знак своего участия в неуклонном марше прогресса. Продолжайте в том же духе.\n
Dialogues/scientistEndQuestReward6	Awesome, man. Here's a small thank you for taking part in this great work.	Страхотно, човече. Ето ти малка благодарност за участието в тази страхотна работа.	Génial, mec. Voici un petit merci pour avoir participé à ce grand travail.\n	Отлично, приятель. Вот маленькое спасибо за участие в этой великой работе.\n
Dialogues/prepNotEnoughtMoney	I don't have enough money.	Нямам достатъчно пари.	Je n'ai pas assez d'argent.\n	У меня недостаточно денег.\n
Dialogues/scientistFirstEncounter1	<voice type=surprise>\nWho's there?\n<voice type=order>\nYou better get out of here.\nThere are wicked snakes everywhere around!	<voice type=surprise>\nКой е там?\n<voice type=order>\nПо-добре излез оттук.\nНавсякъде има зли змии!	<voice type=surprise>\nQui est là ?\n<voice type=order>\nTu ferais mieux de partir d'ici.\nIl y a des serpents méchants partout !\n	<voice type=surprise>\nКто там?\n<voice type=order>\nТебе лучше уйти отсюда.\nВокруг повсюду опасные змеи!\n
Dialogues/prepFirstEncounter2	Yes, I noticed!\n<voice type=negation>\nBut the snakes are no more.\n<voice type=greeting>\nAnd people call me Mr. Prepper.	Да, забелязах!\n<voice type=negation>\nНо змиите вече не са.\n<voice type=greeting>\nИ хората ме наричат г-н Препър.	Oui, je l’ai remarqué !\n<voice type=negation>\nMais les serpents ne sont plus là.\n<voice type=greeting>\nEt les gens m’appellent Mr. Prepper.\n	Да, я заметил!\n<voice type=negation>\nНо змей больше нет.\n<voice type=greeting>\nИ люди зовут меня Mr. Prepper.\n
Dialogues/scientistFirstEncounter3	<voice type=question>\nMr. Prepper, huh? Sounds familiar.\nWait a sec.	<voice type=question>\nГ-н Препър, а? Звучи познато.\nИзчакай малко.	<voice type=question>\nMr. Prepper, hein ? Ça me dit quelque chose.\nAttends une seconde.\n	<voice type=question>\nMr. Prepper, да? Звучит знакомо.\nПодожди секунду.\n
Dialogues/scientistFirstEncounter4	<voice type=thanks>\nThanks, man.\n<voice type=greeting>\nI am Dr. Edward.\n<voice type=thanks>\nBless the President, y'all.\nI've been stuck this place for a while and my rations have almost run out already.	<voice type=thanks>\nБлагодаря ти.\n<voice type=greeting>\nАз съм д-р Едвард.\n<voice type=thanks>\nБъди благословен, господин.\nЗастрял съм тук от известно време и провизиите ми почти свършиха.	<voice type=thanks>\nMerci, mec.\n<voice type=greeting>\nJe suis le Dr Edward.\n<voice type=thanks>\nGloire au Président, tout le monde.\nJe suis coincé ici depuis un moment et mes rations sont presque épuisées.\n	<voice type=thanks>\nСпасибо, дружище.\n<voice type=greeting>\nЯ доктор Эдвард.\n<voice type=thanks>\nСлава Президенту, всем вам.\nЯ застрял здесь уже какое-то время, и мои запасы почти закончились.\n
Dialogues/prepFirstEncounter5	<voice type=question>\nDid you just say...?	<voice type=question>\nКазахте ли току-що...?	<voice type=question>\nAs-tu vraiment dit...?\n	<voice type=question>\nТы только что сказал...?\n
Dialogues/scientistFirstEncounter6	<voice type=acceptance>\nThank you? Yeah, I've been trapped in here for a couple of weeks, happy to be out now.\nThe food issue was troubling, but what really blew was the fact I needed to interrupt my work.	<voice type=acceptance>\nБлагодаря? Да, бях затворен тук няколко седмици, радвам се, че съм навън сега.\nХранителният въпрос беше притеснителен, но това, което наистина ме ядоса, беше фактът, че трябваше да прекъсна работата си.	<voice type=acceptance>\nMerci ? Oui, j’ai été coincé ici pendant quelques semaines, content d’être enfin dehors.\nLe problème de nourriture était préoccupant, mais ce qui m’a vraiment pesé, c’est d’avoir dû interrompre mon travail.\n	<voice type=acceptance>\nСпасибо? Да, я был здесь заперт пару недель, рад наконец выбраться.\nС едой были проблемы, но хуже всего было то, что пришлось прервать свою работу.\n
Dialogues/prepFirstEncounter7	I'm glad you're ok then.\n<voice type=question>\nThose snakes were... different that I'm used too.	Радвам се че си в ред.\n<voice type=question>\nТе змии бяха... различни от тези, с които съм свикнал.	Je suis content que tu ailles bien alors.\n<voice type=question>\nCes serpents étaient... différents de ceux auxquels je suis habitué.\n	Хорошо, что с тобой всё в порядке.\n<voice type=question>\nЭти змеи были... другими, чем те, к которым я привык.\n
Dialogues/scientistFirstEncounter8	Ah, yes. It's because of elevated radiation in the area. They're just a bit mutated.\n<voice type=question>\nTo be expected around here, really. Did the bastards bite you, Mr. Prepper?\nThis species is not venomous, but the radiation might be an issue.\nI have something to fix you up with: a concoction made of irradiated mushrooms.\n<voice type=laugh>\nI almost started eating them raw when rations were running out! That would not be a good idea though.\nBut they're helpful when processed into an extract. Take this, it will be useful.	А, да. Това е заради повишената радиация в района. Просто са малко мутирани.\n<voice type=question>\nОчаквано е тук, наистина. Те ли те хапнаха, г-н препър?\nТози вид не е отровен, но радиацията може да бъде проблем.\nИмам нещо, с което да те поправя: смес от радиационни гъби.\n<voice type=laugh>\nПочти започнах да ги ям сурови, когато провизиите свършиха! Но това нямаше да бъде добра идея.\nНо те са полезни, когато бъдат обработени в екстракт. Вземи това, ще ти пригоди.	Ah, oui. C'est à cause de l'élévation de la radiation dans la zone. Ils sont juste un peu mutés.\n<voice type=question>\nC'est normal par ici, vraiment. Est-ce que ces salauds t'ont mordu, Mr. Prepper ?\nCette espèce n'est pas venimeuse, mais la radiation pourrait poser problème.\nJ'ai quelque chose pour te remettre sur pied : une concoction faite de champignons irradiés.\n<voice type=laugh>\nJ'ai presque commencé à les manger crus quand les rations se faisaient rares ! Ce ne serait pas une bonne idée.\nMais ils sont utiles lorsqu'ils sont transformés en extrait. Prends ça, ça sera utile.\n	А, да. Всё из-за повышенного радиационного фона в этом районе. Они просто немного мутировали.\n<voice type=question>\nЭто здесь вполне ожидаемо. Эти ублюдки тебя укусили, Mr. Prepper?\nЭтот вид не ядовит, но радиация может быть проблемой.\nУ меня есть что-то, чтобы тебя вылечить: смесь из радиационных грибов.\n<voice type=laugh>\nЯ чуть было не начал есть их сырыми, когда истощались запасы! Но это была бы плохая идея.\nЗато они полезны, если сделать из них экстракт. Возьми это, пригодится.\n
Dialogues/prepFirstFetchQuest1	<voice type=question>\nWhat are you doing in here exactly?	<voice type=question>\nКакво правиш точно тук?	<voice type=question>\nQue fais-tu exactement ici?\n	<voice type=question>\nЧто именно ты здесь делаешь?\n
