# key	english
UI/Blueprint	Blueprint
Dialogues/prepAllAnimalsResqued6	Yes, he's a good dog.
Dialogues/willAllAnimalsResqued7	<voice type=thanks>\nGood, I'm glad.\nMr. Prepper. Here, take a look.\nThis is how I make his favorite treats.
Dialogues/prepAllAnimalsResqued8	Mhm, the secret ingredient is rat meat.\n<voice type=disappointment>\nI should have guessed.
Dialogues/willAllAnimalsResqued9	Just don't spoil him too much, Mr. Prepper.
Dialogues/prepAllAnimalsResqued10	Sure thing.
Dialogues/willDogeReward1	<voice type=question>\nUhm, Mr. Prepper?
Dialogues/prepDogeReward2	I'm here.
Dialogues/willDogeReward3	<voice type=order>\nI have made a decision.
Dialogues/prepDogeReward4	<voice type=question>\nWhat decision?
Dialogues/willDogeReward5	<voice type=disappointment>\nSee... you know, my dog Xeno is here illegally.\n<voice type=upset>\nYou know the Agency is weird about dogs.
Dialogues/willDogeReward6	And I've heard from some folks that you have... \nA small illegal project on your own in your house.\n<voice type=question>\nSo you're more... used to this kind of stuff?
Dialogues/prepDogeReward7	<voice type=surprise>\nWhat folks?!
Dialogues/willDogeReward8	<voice type=negation>\nOh, don't think about that too much.
Dialogues/prepDogeReward9	<voice type=disappointment>\n...
Dialogues/willDogeReward10	<voice type=question>\nSo what do you think? Xeno would be a lot safer with you.
Dialogues/willDogeReward11	<voice type=anger>\nI can't imagine him getting taken by the Agency one day.\n<voice type=upset>\nIt would break my heart.
Dialogues/willDogeReward12	<voice type=question>\nMr. Prepper, can you take care of him for me? \nI see that he likes you.
Dialogues/willDogeReward13	<voice type=upset>\nJust visit me from time to time, Xeno.
Dialogues/willDogeReward14	In this book you will find everything you need to take care of him.
Dialogues/prepDogeReward15	Xeno will be safe with me, I promise.\n<voice type=thanks>\nThank you for entrusting him to me.\n<voice type=acceptance>\nI'm sure he will be a great help.
Dialogues/prepperFIdleRand1	What a quiet day.
Dialogues/prepperFIdleRand2	<voice type=laugh>\nBaby shark, do do do...\n<voice type=disappointment>\nah, damn, it's the worst of earworms.
Dialogues/prepperFIdleRand3	Give man a fish, you'll feed him for a day.\nTeach a man to fish, and he'll soon establish a fishing industry and destroy the ecosystem.
Dialogues/prepperFIdleRand4	Not much happening. I guess those scoundrels from the Agency don't even stock fish in here.
Dialogues/prepperFIdleRand5	<voice type=disappointment>\nNot the most exciting day of fishing.
Dialogues/prepperFIdleRand6	<voice type=question>\nWhat's that smell...? Ah, nevermind, I'm sure this lake is very clean.
Dialogues/prepperFCatchRand1	<voice type=surprise>\nOooh... I got something!
Dialogues/prepperFCatchRand2	<voice type=surprise>\nGotcha!
Dialogues/prepperFCatchRand3	<voice type=surprise>\nCome to me!
Dialogues/prepperFCatchItemRand1	<voice type=disappointment>\nAww... Just trash.
Dialogues/prepperFCatchItemRand2	<voice type=disappointment>\nNothing.
Dialogues/prepperFCatchItemRand3	<voice type=disappointment>\nEhh... Come on!
Dialogues/prepperFLoseMinigameRand1	<voice type=upset>\nAlmost!
Dialogues/prepperFLoseMinigameRand2	<voice type=disappointment>\nShucks.
Dialogues/prepperFLoseMinigameRand3	<voice type=upset>\nHey fish, come back.
Dialogues/prepperFHeavyFishRand1	<voice type=laugh>\nWow, that's a big fish!
Dialogues/prepperFHeavyFishRand2	Oh, I hope the rod will hold!
Dialogues/prepperFMediumFishRand1	Here comes that boy!
Dialogues/prepperFMediumFishRand2	<voice type=order>\nI'll make it! I'll make it!
Dialogues/prepperFSmallFishRand1	<voice type=laugh>\nOh, so tiny!
Dialogues/prepperFSmallFishRand2	Just taking it slow and casual.
Dialogues/prepperFUncommonFishRand1	Aw yiss!
Dialogues/prepperFUncommonFishRand2	<voice type=thanks>\nWow, catch of the day!
Dialogues/prepperFRareFishRand1	Swim right to me!
Dialogues/prepperFRareFishRand2	<voice type=thanks>\nShiny!
Dialogues/prepperFEpicFishRand1	<voice type=thanks>\nWhat a happy day!
Dialogues/prepperFEpicFishRand2	Jackpot!
Dialogues/willFishRewardStarterRand1	How is your fishing going?
Dialogues/willFishRewardStarterRand2	<voice type=question>\nHey, Prepper. Did you catch the fish that Henry wanted?
Dialogues/willFishRewardStarterRand3	I see you really like fishing. \nWhat do you got there?
Dialogues/prepFishRewardShowRand1	I got the fish you asked for.
Dialogues/prepFishRewardShowRand2	I'm proud of this catch.
Dialogues/prepFishRewardShowRand3	Check this out!
Dialogues/prepFishRewardShowRand4	<voice type=question>\nWhat do you know about this fish?
Dialogues/prepFishRewardShowRand5	<voice type=question>\nWhy did you ask for this fish anyway?
Dialogues/willWhiteMinnowTalk1	A white minnow. Not the greatest of catches, but it's a good fish for beginners if you want to start an aquarium.
Dialogues/willSilverMinnowTalk1	A silver minnow. They shine like coins in the sun. They make for good baits for bigger fish.
Dialogues/willEmeraldMinnowTalk1	An emerald minnow! Either an effective live bait or a pretty aquarium fish.
Dialogues/willGoldMinnowTalk1	A golden minnow! A nice, rare catch.
Dialogues/willBlackBassTalk1	A black bass! A classic of American angling. Common, but can put up a good fight.
Dialogues/willWhitePerchTalk1	A white perch. A decent catch. Tasty if cooked properly.
Dialogues/willYellowPerchTalk1	A yellow perch! Vivid color and stripes. Very pretty, very tasty.
Dialogues/willStripedBassTalk1	A striped bass! These are tough ones, fitted for long migration. A good catch.
Dialogues/willPinkSalmonTalk1	You've caught a pink salmon. A popular fish, even if not my favorite.
Dialogues/willRedSalmonTalk1	Ah, here's a red salmon. They just go headfirst into life and death and love sporting intense red.
Dialogues/willRainbowTroutTalk1	It's a rainbow trout you have here. They're very energetic and require good skill to catch.
Dialogues/willGoldTroutTalk1	A golden trout! Rare and beautiful fish. A great catch.
Dialogues/willBlackCatfishTalk1	A black catfish. They're rather small and taste well only if they lived in clean water. 
Dialogues/willBlueCatfishTalk1	Apparently a blue catfish. They're tough and long-living. But well, you outsmarted this one.
Dialogues/willWhiteCatfishTalk1	A white catfish. Funny, I didn't know you can catch them in this area.
Dialogues/willTigerfishTalk1	The stripes, the shape - it must be a tigerfish! They fight relentlessly.
Dialogues/prepNoticeCrashedUFOInLake1	Oh, here it is. Thus passes the glory of the outer world.
Dialogues/prepInspectCrashedUFOInLake1	A crashed UFO. I'm still not sure if it was the right thing to do, but they really were a hassle.
Dialogues/prepCrashedUFOInLakeGone1	Oh, the UFO is gone now. Someone must have retrieved the wreckage.
Dialogues/prepIncorrectFishOnAqua	<voice type=negation>\nOops... You're not gonna fit in here, buddy.
Dialogues/prepEndFishes	That's all I got.
Dialogues/willFishingRewardRand1	<voice type=acceptance>\nHere, take those gifts and make use of them!
Dialogues/willFishingRewardRand2	<voice type=acceptance>\nThose are for you, thank me later.
Dialogues/willFishingRewardRand3	<voice type=acceptance>\nI've got you some good gifts.
Dialogues/willFishingRewardEnd1	Henry is satisfied for now. Come back later.
Dialogues/prepFishingRewardEnd2	<voice type=thanks>\nThank you. I will.
Dialogues/prepNeedFishingBait	<voice type=negation>\nI need a fishing bait.
Dialogues/prepUFOShipHole	<voice type=negation>\nThere is a hole in the floor.
Dialogues/prepUFOShipNeedClothes	This should work... \nI think.\nBut I should grab my clothes before I leave.
Dialogues/prepPostGameUFO	<voice type=order>\nNow I am become Death, the destroyer of worlds.\nWell, outworldly vehicles at least.\n<voice type=negation>\nNo chance that saucer will fly again.
Dialogues/prepPostGameUFOGone1	<voice type=question>\nSomething is missing...
Dialogues/prepPostGameUFOGone2	<voice type=surprise>\nUFO! It's gone!
Dialogues/prepPostGameUFOGone3	<voice type=question>\nDid it lift up somehow? \n<voice type=question>\nOr did someone take it?
Dialogues/prepBeesTut	Bees need flowers to produce honey.\nI should plant some flowers in this room.
Dialogues/prepBeesTutGrowing	Flowers are growing.\nNeed to wait a bit to get some honey.
Dialogues/henIdle	Cluck!
Dialogues/henReaction	Cluck!
Dialogues/msagentMsAgentSecond1	<voice type=order>\nMr. Prepper.
Dialogues/prepMsAgentSecond2	<voice type=question>\nOh, I... didn't see you there.. Ms...
Dialogues/msagentMsAgentSecond3	<voice type=question>\nSo how are things going on the farm?
Dialogues/prepMsAgentSecond4	<voice type=acceptance>\nFarm, right.\nIt's... getting better. The animals stopped acting up.\nI fixed a few things here and there.
Dialogues/msagentMsAgentSecond5	<voice type=question>\nSo nothing bad had happened?
Dialogues/prepMsAgentSecond6	Some animals went missing.\nIt happened last night, I think.\nI suspect it's because of some wild animals. I will take care of that.
Dialogues/msagentMsAgentSecond7	<voice type=order>\nGood. I will keep checking the developments. Bless the president!
Dialogues/prepMsAgentSecond8	<voice type=disappointment>\nWow, I should be more careful.\nShe really keeps an eye on this farm. Perhaps agriculture is not the only thing the Agency observes here...
Dialogues/prepMsAgentThird1	<voice type=order>\nThe Agent is coming!
Dialogues/willMsAgentThird2	<voice type=surprise>\n!?
Dialogues/willMsAgentThird3	<voice type=order>\nXeno, hide! Quickly!
Dialogues/prepMsAgentThird4	<voice type=question>\nWait, why does he have to hide?
Dialogues/willMsAgentThird5	<voice type=anger>\nNot now!
Dialogues/msagentMsAgentThird6	<voice type=order>\nCitizens.
Dialogues/willMsAgentThird7	<voice type=greeting>\nOh, hello, Ms. Agent! What a lovely day we have here!\n<voice type=acceptance>\nEverything on the farm is going great. \nAnd Mr. Prepper's assistance has been very useful...
Dialogues/msagentMsAgentThird8	<voice type=order>\nCitizen. The dog. Don't think I didn't see him.
Dialogues/msagentMsAgentThird9	<voice type=order>\nThis issue must be dealt with.
Dialogues/willMsAgentThird10	<voice type=anger>\nNo, you can't! You cruel, self-righteous...
Dialogues/prepMsAgentThird11	<voice type=order>\nWill!
Dialogues/willMsAgentThird12	<voice type=upset>\nI'm sorry, Ms. Agent.
Dialogues/msagentMsAgentThird13	<voice type=question>\nAnimals are missing once more, correct?
Dialogues/prepMsAgentThird14	<voice type=disappointment>\nUhm... yes.
Dialogues/msagentMsAgentThird15	I wasn't really expecting anything else.\n<voice type=disappointment>\n(Why, oh why was I assigned here.)\nAlright, until next time. Bless the president.
Dialogues/willMsAgentThirdAfter16	<voice type=anger>\nDamn Agency! May they rot in hell! 
Dialogues/prepMsAgentThird17	I'm sorry, Will. But explain something to me.\n<voice type=question>\nIs Xeno some outlaw? Pirate on a run?\n<voice type=question>\nDid he bite an Agent or something?
Dialogues/willMsAgentThirdAfter18	<voice type=disappointment>\nYou know the Agency is weird with dogs in general. They were taking dogs away from people under some feeble pretexts.\n<voice type=upset>\nAnd Ms. Agent... When she first saw Xeno, she told me she wants to confiscate him on behalf of the Agency.\n<voice type=upset>\nBut he felt that and ran away from her. Still avoids her whenever he can. And she regularly threatens to hunt him down. 
Dialogues/prepMsAgentThird19	I see.\nBut Xeno is smart. \nSmartest dog I have ever met.\n<voice type=acceptance>\nThere is no way some Agency's dog catcher will win with him.
Dialogues/willMsAgentThirdAfter20	<voice type=thanks>\nThank you, Mr. Prepper.\n<voice type=disappointment>\nAnd remember about my missing animals.\n<voice type=disappointment>\nI need to rest and think for a bit.
Dialogues/prepNeedFishingRod2	<voice type=negation>\nI need a fishing rod.
Dialogues/weatherRadioSunny	clear skies
Dialogues/weatherRadioRain	rain
Dialogues/weatherRadioHeavyRain	heavy rain
Dialogues/weatherRadioFog	fog
Dialogues/weatherRadioThunder	thunder
Dialogues/prepNotEnoughGranades	<voice type=negation>\nI need grenades to play this.
Dialogues/weatherRadioStartTime	from #0#
Dialogues/weatherRadioStartMorning	from the morning
Dialogues/weatherRadioEndTime	until #0#
Dialogues/weatherRadioEndDay	until the end of the day
Dialogues/weatherRadioStartSent	We can expect
Dialogues/prepNotHaveWeapon	I need a range weapon to play this.
Dialogues/prepNotHaveAmmo	I need more ammunition.
Dialogues/weatherRadioConnector	and
Dialogues/prepWillPostGame1	<voice type=greeting>\nHello, Will. I wanted to ask you something.
Dialogues/willWillPostGame2	<voice type=question>\nHello, Mr. Prepper. Sure, what it is?
Dialogues/prepWillPostGame3	<voice type=question>\nDo you remember what was the thing Ms. Agent mentioned last night?
Dialogues/willWillPostGame4	<voice type=question>\nWhat? Ms. Agent was here last night?\n<voice type=question>\nWhy? What did she want?\n<voice type=fear>\nAm I in trouble?
Dialogues/prepWillPostGame5	<voice type=disappointment>\nOh.\n<voice type=negation>\nNo, sorry, you misheard me.\n<voice type=question>\nI just wanted to ask your opinion: which fish is the king of all waters: the muskie or the largemouth bass?
Dialogues/willWillPostGame6	Of course, the largemouth bass is the king of all waters like the lion is the king of the jungle.
Dialogues/henWillPostGame7	Cluck!
Dialogues/prepWillPostGame8	Thank you, Will.
Dialogues/prepJoePostGame1	<voice type=disappointment>\nJoe, about the UFO wreckage...
Dialogues/joeJoePostGame2	<voice type=question>\nUFO wreckage? Which one? The one from Roswell? \n<voice type=question>\nThe one from Shag Harbour? Or maybe this weird case from Aurora, Texas? \n<voice type=laugh>\nMr. Prepper, you keep suprising me!\n<voice type=acceptance>\nI didn't know you were interested in this stuff too!
Dialogues/prepJoePostGame3	<voice type=disappointment>\nOh my...\nYou know what, I think I left something in the furnace back home.\nI'll be right back.
Dialogues/prepTemplate	template
Dialogues/prepToBigBoy	This fish is way too big!
Dialogues/prepDogeUnderground	<voice type=disappointment>\nHm... \n<voice type=disappointment>\nHe doesn't look too happy in here.\n<voice type=question>\nMaybe I should keep him on the surface, in the house?
Dialogues/prepDogeOverground	<voice type=acceptance>\nOh hey, this is a nice place for you.\nI will have to make sure to hide you from Agency before each inspection, though. You need to stay quiet and listen to me!
Dialogues/prepDogGone	<voice type=surprise>\nWait... The dog is gone?! My good boy?\n<voice type=question>\nMaybe it wasn't good enough with me for him?\n<voice type=upset>\nI hope he will come back.
Dialogues/prepDogExpedition	Aw... I see that the dog has just simply gone to do dog stuff.\nHope he doesn't get into trouble.
Dialogues/prepAgressiveAnimal	<voice type=negation>\nI can see it's stressed out, better not to touch it now.
Dialogues/agentDogDenNoticed	<random>\nDo you keep any pets here, Citizen?\nI'd like to remind you that keeping pets is against the regulations, Citizen.\nI hope you are aware, Citizen, that keeping pets is forbidden.\nI noticed a non-standard piece of furniture. I hope it is not intended for a pet.\nCitizen, I see an unusual object. I'd say it's intended for a pet, but you surely know it's forbidden.\nI see a non-standard piece of furniture, but I'll just assume it's a weird ornament, Citizen.\n</random>
Dialogues/agentDogNoticed	<random>\nCitizen, keeping pets in the house is forbidden and can get you in trouble.\nOh, what do we have here. A dog. You know it's forbidden, Citizen?\nKeeping pets is against the regulations, I need to report this.\nWhat, a dog? This is obviously against the regulations, Citizen.\nMy employers will not be happy, Citizen.\nI see a dog. You must have known it is forbidden to keep a pet, Citizen.\n</random>
Dialogues/willTamplate	
Dialogues/willTamplate2	
Dialogues/willFishingQuestBegin1	<voice type=question>\nHenry, what kind of fish would you like to have next?
Dialogues/henFishingQuestBegin2	Cluck! Cluck!
Dialogues/willFishingQuestBegin3	he said.
Dialogues/willFishingQuestBegin4	<voice type=question>\nMr. Prepper, would you bring us such a fish?
Dialogues/willFishingQuestBegin5	I will reward you!
Dialogues/prepFishingQuestBeginRand1	<voice type=acceptance>\nSure.
Dialogues/prepFishingQuestBeginRand2	<voice type=acceptance>\nAgreed.
Dialogues/prepFishingQuestBeginRand3	<voice type=acceptance>\nWill do.
Dialogues/prepAnimalsInvestigateToFarRand1	Let's stay close to the barn.
Dialogues/prepAnimalsInvestigateToFarRand2	I don't think I will find any clues this far.
Dialogues/prepAnimalsInvestigateToFarRand3	Maybe I can find more clues closer to the barn.
Dialogues/prepAnimalsInvestigateHoleRand1	This hole in the barn looks suspicious.
Dialogues/prepAnimalsInvestigateHoleRand2	What a mess... I should fix this hole later.
Dialogues/prepAnimalsInvestigateHoleRand3	Something destroyed the wall of the barn...
Dialogues/prepAnimalsInvestigateFootprintsRand1	I see some paw prints on the ground.
Dialogues/prepAnimalsInvestigateFootprintsRand2	What are those paw prints on the ground?
Dialogues/prepAnimalsInvestigateFootprintsRand3	Hm... Seems that an animal has left some traces...
Dialogues/prepAnimalsInvestigateNothingRand1	I don't see anything interesting in this area.
Dialogues/prepAnimalsInvestigateNothingRand2	No clues here.
Dialogues/prepAnimalsInvestigateNothingRand3	I don't see anything suspicious in here, I'll better check somewhere else.
Dialogues/prepSleeplessChickenHintRand1	The tracker points to this entrance.
Dialogues/prepSleeplessChickenHintRand2	The entrance is blocked.
Dialogues/prepSleeplessChickenHintRand3	Blocked. Maybe Bob can help me with that.
Dialogues/prepSleeplessChickenHintRand4	The tracker points to here, but I can't go through now.
Dialogues/prepNothingToCollect	Nothing to collect.
Dialogues/willRankUp1.1	What? What is it, Henry?
Dialogues/willRankUp1.2	Ah... He says that you are now an <color=yellow>Novice Fisherman</color>!\nCongratulations.
Dialogues/willRankUp1.3	Mhm.. with each rank quests will be harder and rewards better.
Dialogues/willRankUp2	You advanced to <color=yellow>Apprentice Fisherman</color>!
Dialogues/willRankUp3	In Henry's eyes you are now an <color=yellow>Advanced Fisherman</color>!
Dialogues/willRankUp4	Incredible! You can call yourself now an <color=yellow>Expert Fisherman</color>!
Dialogues/willRankUp5.1	Mr. Prepper, you have reached the peak.\nAccording to Henry, you are an <color=yellow>Master Fisherman</color>!
Dialogues/willRankUp5.2	You have learned everything you could from Henry. \nYou are both equals now in fishing mastery, incredible!
Dialogues/willRank1	You are a <color=yellow>Novice Fisherman</color>.
Dialogues/willRank2	You are a <color=yellow>Apprentice Fisherman</color>.
Dialogues/willRank3	You are a <color=yellow>Advanced Fisherman</color>.
Dialogues/willRank4	You are a <color=yellow>Expert Fisherman</color>.
Dialogues/willRank5	You are a <color=yellow>Master Fisherman</color>.
Dialogues/willFishCount1	You have completed... how many quests, Henry?
Dialogues/willToRankUp	Complete <color=yellow>[count]</color> more fishing quests to rank up.
Dialogues/willMaxRank	
Dialogues/prepNotEnoughFishes	All fish are gone from here.
Dialogues/prepLucky	I feel lucky.
Dialogues/prepMazeMinigameFinished	I've already done what could be done.
Dialogues/prepFriendshipLevel0	He still is distrustful.
Dialogues/prepFriendshipLevel1	He begins to get used to me.
Dialogues/prepFriendshipLevel2	It seems he likes me after all.
Dialogues/prepFriendshipLevel3	He trusts me immensely.
Dialogues/prepTreatIsNotHealthy	I shouldn't give my dog ​​these treats too often.\nOnce a day is enough.
Dialogues/prepDogeDenAdventureTime	I'd better not disturb his lair.\nHe'll probably be back soon.
Dialogues/prepCannotTakeUpgrade	Aquarium is not empty.\nI should empty aquarium before I install an upgrade.
Dialogues/prepNoEnemys	<voice type=question>\nNo enemies?\nLucky me.
Dialogues/prepDogeUpperFloor	<voice type=disappointment>\nHm... \n<voice type=disappointment>\nIt seems that Xeno wants to be free.\n<voice type=question>\nMaybe I should take him downstairs. He can go out into the yard.
Dialogues/survNoWay	<voice type=negation>\nI can't get there!
Dialogues/survBlockedWay	<voice type=negation>\nThe way is blocked!
Dialogues/survIdleTalkingRand1	Hello There
Dialogues/survIdleTalkingRand2	General Kenobi
Dialogues/prepFinalePostApo	<voice type=negation>\nDamn...\n<voice type=question>\nMaybe running away is not the solution...\nSo many poor people suffer...\n<voice type=acceptance>\nNo more escapes, it's time to take matters into my own hands!\n<voice type=acceptance>\nI'm started this nightmare and i will end this!
Dialogues/bobPostApoLaunch0	Prepper?\nCo ty tutaj robisz?
Dialogues/bobPostApoLaunch0.5	W dodatku agent też jest tutaj?\nNie rozumiem.
Dialogues/bobPostApoLaunch1	Ale jak to?\nCo zrobiłeś?\nGdzie poleciała rakieta?
Dialogues/bobPostApoLaunch2	O rany...
Dialogues/bobPostApoLaunch3	Co zamierzasz teraz zrobić?
Dialogues/bobPostApoLaunch4	Oczywiście!\nTo będzie dla nas zaszcz....
Dialogues/bobPostApoLaunch5	...
Dialogues/joePostApoLaunch0	Chłopie, przecież miałeś uciekać!
Dialogues/joePostApoLaunch1	A to ci checa...
Dialogues/joePostApoLaunch2	...
Dialogues/jennyPostApoLaunch0	Co się dzieje kwiatuszku?
Dialogues/jennyPostApoLaunch1	O marmolatko...
Dialogues/jennyPostApoLaunch2	Dobry Boże...
Dialogues/willPostApoLaunch0	Kurza twarz\nAle niespodzianka
Dialogues/willPostApoLaunch1	Święta krowa!
Dialogues/willPostApoLaunch2	...
Dialogues/agentPostApoLaunch0	Co tutaj się dzieje?\nPrepper?\nCzemu nie uciekłeś?
Dialogues/agentPostApoLaunch1	Spokojnie\nNie przysporzę wam żadnych kłopotów.
Dialogues/agentPostApoLaunch2	Nie mów mi że zrobiłeś to o czym myślę...
Dialogues/agentPostApoLaunch3	O kurde...\nW zarządzie pospadają z krzeseł...
Dialogues/agentPostApoLaunch4	Oczywiście...\nTylko że jestet jeden szkopuł...
Dialogues/agentPostApoLaunch5	A no właśnie...\nTaki szkopół...\nNajgorsze jest to że to dopiero jedna z wielu bomb...
Dialogues/agentPostApoLaunch6	...
Dialogues/prepPostApoLaunch0	Wiesz co Bob?\nPostanowiłem przestać uciekać i stawić czoła koszmarowi który zapoczątkowałęm.
Dialogues/prepPostApoLaunch0.5	"Wiecie co?\nPostanowiłem przestać uciekać i stawić czoła koszmarowi który zapoczątkowałęm."\t\t\t
Dialogues/prepPostApoLaunch1	Moja praca nad satelitą przysporzyła wielu osobom wielką krzywdę\nUciekanie od tej odpowiedzialnośni byłoby niesamowitym tchórzostwem\nDlatego postanowiłem zniszczyć satelitę i uwolnić tych wszystkich ludzi których zniewoliła
Dialogues/prepPostApoLaunch2	Jeżeli mi pozwolisz Bob, chciałbym dołączyć do ciebie w akcji "Przebudzenie"\nŻeby naprawić krzywdy które wyrządziłem
Dialogues/prepPostApoLaunch2.5	Jeżeli mi pozwolicie, chciałbym dołączyć do was w akcji "Przebudzenie"\nŻeby naprawić krzywdy które wyrządziłem
Dialogues/prepPostApoLaunch2.75	Wraz z agentem chcielibyśmy dołączyć do akcji "Przebudzenie"\nŻeby naprawić krzywdy które wyrządziliśmy\nPrawda Minutmenie?
Dialogues/prepPostApoLaunch3	Jasna cholera...\nCo to ma być!
Dialogues/prepPostApoLaunch4	Dobra słuchaj Bob\nNie ma czasu na oglądanie fajerwerków\nBiegnij Szybko do mojego bunkra\nNiewiadomo co zaraz się wydaży\nJa jeszcze postaram się pozbierać najpotrzebniejsze rzeczy!
Dialogues/prepPostApoLaunch4.5	Dobra słuchajcie wszyscy\nNie ma czasu na oglądanie fajerwerków\nBiegnijcie Szybko do mojego bunkra\nNiewiadomo co zaraz się wydaży\nJa jeszcze postaram się pozbierać najpotrzebniejsze rzeczy!
Dialogues/prepPostApoLaunch4.75	Jedna z wielu?!\nKiedy zamierzałeś nam o tym powiedzieć?!
Dialogues/prepPostApoLaunch5	Dobra teraz nie jest to ważne Biegnijcie szybko do mojego bunkra Ja jeszcze postaram się pozbierać najpotrzebniejsze rzeczy!
Dialogues/prepPostApoLaunch6	Nie na darmo nazywam się Mr. Prepper!
Dialogues/prepPostApoLaunch7	Dobra mam nadzieję że zabrałem wszystko co może nam się przydać\nPora uciekać
Dialogues/prepDrinkCoffee	This will definitely get me back on my feet.
Dialogues/willFishingReward1	Incredible!\nYou caught every kind of fish that lives in this area.\nSuch a feat demands a special reward.\nLet's see... hmm...
Dialogues/prepFishingReward2	It's fine, Will. I got enough rewards from you already.
Dialogues/willFishingReward3	<voice type=negation>\nNo! You need to be rewarded. \nHere you go.
Dialogues/willFishingReward4	It's my old fishing hat.
Dialogues/prepFishingReward5	Ah... Thanks... It looks very...\n<voice type=question>\nUseful?
Dialogues/willFishingReward6	It sure is! With this hat catching more fish will be a breeze.
Dialogues/prepFishingReward7	I will give it a try.
Dialogues/prepCoffeeMachineCoffeeBeans	I need coffee beans for that.
Dialogues/prepReciveJoeUraniumLetter	<voice type=question>\nInteresting.\n<voice type=acceptance>\nI'd be very happy to take a look at this item, it might lead somewhere.
Dialogues/prepGlowingGlass1	<voice type=greeting>\nHi, Joe. I received your letter. I'd love to take a look at this thing you found.
Dialogues/joeGlowingGlass2	<voice type=laugh>\nRight! It's amazing! As I said, I was just walking around the yard with a UV lamp...
Dialogues/prepGlowingGlass3	<voice type=acceptance>\nAs one does.
Dialogues/joeGlowingGlass4	But of course! You should also try looking at your place in a different light sometimes.
Dialogues/prepGlowingGlass5	<voice type=question>\nSure. So this piece glowed up?
Dialogues/joeGlowingGlass6	<voice type=surprise>\nLike a neon light! \nI think it's uranium glass, they used to make those before they started using the material for... these other things.\nBut that's not everything. Take a look at this stamp at the bottom of the glass.
Dialogues/prepGlowingGlass7	<voice type=question>\n"Murricaville Uranium Co." Oh wow, do you think it was made here?
Dialogues/joeGlowingGlass8	<voice type=negation>\nNo idea. \n<voice type=question>\nBut Bob knows a lot of stuff about local history, right? Maybe you should ask him?
Dialogues/prepGlowingGlass9	<voice type=thanks>\nThat's a good tip, thanks.
Dialogues/joeGlowingGlass10	<voice type=order>\nAnd you should consider checking more stuff with your Geiger counter. Maybe you'll find some more!
Dialogues/prepGlowingGlass11	<voice type=disappointment>\nUhm... Right... I think I lost the previous one. Do you maybe have another?
Dialogues/joeGlowingGlass12	<voice type=laugh>\nHaha, Prepper, do you think I run a storage of old nuclear equipment?\n...I have another one, yes. You can take it. Good hunting!
Dialogues/prepGlowingGlass13	<voice type=thanks>\nThanks, Joe, I can always count on you.
Dialogues/prepUraniumMine1	<voice type=greeting>\nHey Bob, I need your expertise on local history, and perhaps your amazing book-searching skills.
Dialogues/bobUraniumMine2	<voice type=thanks>\nOh, my favorite! Give me what you have.
Dialogues/prepUraniumMine3	Take a look at the stamp on this glass piece.
Dialogues/bobUraniumMine4	<voice type=negation>\n"Murricaville Uranium Co." Never heard of that! Where do you have it from?
Dialogues/prepUraniumMine5	Joe found it in his junkyard. Looks genuine to me.
Dialogues/bobUraniumMine6	I'll dive into the books and see what I can find. Ask me again about this later.
Dialogues/prepUraniumMineAfterResearch1	<voice type=greeting>\nHi Bob! Found anything on the uranium thing?
Dialogues/bobUraniumMineAfterResearch2	<voice type=acceptance>\nHa, you bet I did. And this quickly got surprising.
Dialogues/prepUraniumMineAfterResearch3	Don't keep me waiting.
Dialogues/bobUraniumMineAfterResearch4	There was indeed a Murricaville Uranium Co. here, founded some time before World War II, in the 1920s most probably.\nThey were manufacturing various products with uranium.
Dialogues/prepUraniumMineAfterResearch5	<voice type=surprise>\nProducts with uranium...?!
Dialogues/bobUraniumMineAfterResearch6	<voice type=acceptance>\nHa, yes. It was used to strengthen some kinds of steel. But also to color glass with pretty shades of green and yellow. And glowing in the UV light, too.\nThere were also some health products containing uranium and radium, did you know that?
Dialogues/prepUraniumMineAfterResearch7	<voice type=surprise>\nHealth products?! So people didn't know radiation is dangerous?
Dialogues/bobUraniumMineAfterResearch8	<voice type=acceptance>\nIt was not a common knowledge back then. I wouldn't recommend using a radium cream for your grooming routine, but uranium glass should be mostly harmless.\nEven mining uranium wasn't considered particularly dangerous back then, and nobody was interested in comparing cancer rates.
Dialogues/prepUraniumMineAfterResearch9	<voice type=question>\nRight... And were there also mining operations in Murricaville?
Dialogues/bobUraniumMineAfterResearch10	That's the fascinating part. There were, and the only logical option for this is... this mine.\nBut I don't really know where the uranium ore might be, perhaps you need to look for it.\nDuring Project Manhattan, when the military realized there are... those other uses for uranium than cool-looking glass, they seized the mine and unused uranium.\nBut the excavation here wasn't efficient enough, and the Oppenheimer guys used another mine eventually.
Dialogues/prepUraniumMineAfterResearch11	<voice type=question>\nSo what happened to this one?
Dialogues/bobUraniumMineAfterResearch12	Uranium excavation was discontinued. After inventing the atomic bomb, the government restricted civilian uses of uranium.\nBut you're a master explorer, maybe you'll still be able to find the parts of the mine that were used for it?
Dialogues/prepUraniumMineAfterResearch13	<voice type=thanks>\nThanks for all the information. I'll try.
Dialogues/prepSearchingForRadiatedPass1	Hmm, the instrument shows me there is some radiation in this spot.
Dialogues/prepSearchingForRadiatedPass2	<voice type=question>\nOh! What's this?
